ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota 4Runner SR5 Premium,"$36,998*",41K miles,278 torque@4400rpm,270 horsepower@5600rpm,23 gal,"190.2"" L x 75.8"" W x 71.5"" H","109.8""",P265/70SR17,"41.7""","39.3""",47.2 cu ft,"4,675 lbs","5,000/5,000 lbs",Null,"6-cyl, Gas, 4.0L",Four Wheel Drive,Automatic,White/Black,,2']
6 year(s),,Null,2 Service Record(s) Reported,2017 Honda HR-V EX,"$21,998*",48K miles,127 torque@4300rpm,141 horsepower@6500rpm,13.2 gal,"169.1"" L x 69.8"" W x 63.2"" H","102.8""",P215/55VR17,"41.2""","37.6""",23.2 cu ft,"3,094 lbs",Null,27 city/31 hwy,"4-cyl, Gas, 1.8L",All Wheel Drive,Automatic,Black/Black,,2']
3 year(s),,Null,,2020 Audi Q5 Titanium Premium,"$28,998*",72K miles,273 torque@1600rpm,248 horsepower@5000rpm,18.5 gal,"183.6"" L x 74.5"" W x 65.3"" H","111""",P235/55HR19,"41""","40.2""",25.1 cu ft,"4,034 lbs","4,400/4,400 lbs",22 city/28 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Gray/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,9 Service Record(s) Reported,2021 Honda Pilot Touring,"$37,998*",38K miles,262 torque@4700rpm,280 horsepower@6000rpm,19.5 gal,"196.5"" L x 78.6"" W x 70.6"" H","111""",P245/50HR20,"40.9""","39.5""",16.5 cu ft,"4,127 lbs","3,500/3,500 lbs",20 city/27 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,White/Tan,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Volvo XC90 T6 Momentum,"$37,998*",36K miles,295 torque@2200rpm,316 horsepower@5700rpm,18.8 gal,"194.9"" L x 79.1"" W x 69.9"" H","117.5""",P235/55HR19,"40.9""","38.9""",12.6 cu ft,"4,394 lbs","5,000/5,000 lbs",19 city/26 hwy,"4-cyl, Turbo Supercharged, 2.0L",All Wheel Drive,Automatic,Blue/Tan,,2']
9 year(s),No Accidents or Damage Reported,Null,,2014 GMC Acadia SLT,"$19,998*",84K miles,270 torque@3400rpm,288 horsepower@6300rpm,22.0 gal,"200.8"" L x 78.9"" W x 70.40"" H","118.90""",P255/60R19,"41.30""","40.30""",24.1 cu ft,"4,850 lbs",Null,16 city/23 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Gray/Black,,2']
5 year(s),,Null,,2018 Hyundai Tucson SEL,"$16,998*",101K miles,151 torque@4000rpm,164 horsepower@6200rpm,16.4 gal,"176.2"" L x 72.8"" W x 64.8"" H","105.1""",P225/60HR17,"41.5""","39.6""",31 cu ft,"3,300 lbs","1,000/1,000 lbs",23 city/30 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Blue/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Rogue SV,"$28,998*",14K miles,225 torque@2800rpm,201 horsepower@5600rpm,14.5 gal,"183"" L x 72.4"" W x 66.5"" H","106.5""",P235/60HR18,"41.5""","41.1""",36.5 cu ft,"3,618 lbs","1,500/1,500 lbs",28 city/35 hwy,"3-cyl, Turbo Gas, 1.5L",All Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Volvo XC90 T6 Momentum,"$34,998*",46K miles,295 torque@2200rpm,316 horsepower@5700rpm,18.8 gal,"194.9"" L x 79.1"" W x 69.9"" H","117.5""",P235/55HR19,"40.9""","38.9""",12.6 cu ft,"4,394 lbs","5,000/5,000 lbs",19 city/26 hwy,"4-cyl, Turbo Supercharged, 2.0L",All Wheel Drive,Automatic,Black/Champagne,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Volvo XC90 T6 Momentum,"$39,998*",32K miles,295 torque@2200rpm,316 horsepower@5700rpm,18.8 gal,"194.9"" L x 79.1"" W x 69.9"" H","117.5""",P235/55HR19,"40.9""","38.9""",12.6 cu ft,"4,394 lbs","5,000/5,000 lbs",20 city/27 hwy,"4-cyl, Turbo Supercharged, 2.0L",All Wheel Drive,Automatic,White/Tan,,2']
3 year(s),,Null,,2020 Chevrolet Suburban 1500 Premier,"$44,998*",85K miles,383 torque@4100rpm,355 horsepower@5600rpm,31 gal,"224.4"" L x 80.50"" W x 74.4"" H","130.00""",P275/55R20,"45.30""","42.80""",39.3 cu ft,"5,653 lbs",Null,14 city/21 hwy,"8-cyl, Gas, 5.3L",Four Wheel Drive,Automatic,Silver/Black,,2']
3 year(s),,Null,1 Service Record(s) Reported,2020 Acura MDX SH-AWD,"$31,998*",55K miles,267 torque@4700rpm,290 horsepower@6200rpm,19.5 gal,"196.2"" L x 77.7"" W x 67.4"" H","111""",P245/60HR18,"41.4""","38.1""",15.8 cu ft,"4,239 lbs","5,000/5,000 lbs",19 city/26 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Black,,2']
Current Year,No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2023 Nissan Kicks S,"$23,998*",17K miles,114 torque@4000rpm,122 horsepower@6300rpm,10.8 gal,"169.1"" L x 69.3"" W x 63.3"" H","103.1""",P205/60HR16,"43.7""","40.4""",25.3 cu ft,"2,682 lbs",Null,31 city/36 hwy,"4-cyl, Gas, 1.6L",Front Wheel Drive,Automatic,Gray/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Kia Seltos Nightfall,"$28,998*",4K miles,195 torque@1500rpm,175 horsepower@6000rpm,13.2 gal,"172"" L x 70.9"" W x 63.6"" H","103.5""",P235/45HR18,"41.4""","40""",26.6 cu ft,"3,317 lbs",Null,Null,"4-cyl, Turbo Gas, 1.6L",All Wheel Drive,Automatic,Silver/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Kia Sportage X-Line,"$32,998*",27K miles,178 torque@4000rpm,187 horsepower@6100rpm,14.3 gal,"183.5"" L x 73.4"" W x 66.9"" H","108.5""",P235/55HR19,"41.4""","39.6""",39.6 cu ft,"3,543 lbs","1,653/1,653 lbs",23 city/28 hwy,"4-cyl, Gas, 2.5L",All Wheel Drive,Automatic,Black/Gray,,2']
6 year(s),,Null,,2017 Mercedes-Benz GLA250,"$22,998*",72K miles,258 torque@1250rpm,208,14.8 gal,"173.9"" L x 71"" W x 60"" H","106.3""",P235/50WR18,"41.9""","38.3""",17.2 cu ft,"3,296 lbs",Null,24 city/33 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Gray/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Toyota Sequoia Limited,"$73,998*",17K miles,583 torque@2400rpm,437 horsepower@5200rpm,22.5 gal,"208.1"" L x 79.6"" W x 74.2"" H","122""",P265/60HR20,"41.2""","39.2""",22.3 cu ft,"5,855 lbs","9,300/9,300 lbs",21 city/24 hwy,"6-cyl, Turbo Hybrid, 3.5L",Rear Wheel Drive,Automatic,Red/Gray,,2']
5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2018 Toyota Highlander Hybrid XLE,"$35,998*",54K miles,215 torque@4800rpm,306 horsepower@5800rpm,17.2 gal,"192.5"" L x 75.8"" W x 68.1"" H","109.8""",P245/60TR18,"44.2""","39.5""",13.8 cu ft,"4,464 lbs","3,500/3,500 lbs",29 city/27 hwy,"6-cyl, Hybrid, 3.5L",All Wheel Drive,Automatic,Gray/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Buick Encore GX Preferred,"$25,998*",6K miles,162 torque@2500rpm,137 horsepower@5000rpm,13.2 gal,Null,"102.2""",225/55R18,"40.9""","39.7""",Null,Null,Null,29 city/31 hwy,"0-cyl, Turbo Gas, 1.2L",Front Wheel Drive,Automatic,Gray/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Toyota 4Runner TRD Off Road Premium,"$42,998*",39K miles,278 torque@4400rpm,270 horsepower@5600rpm,23 gal,"191.3"" L x 75.8"" W x 71.5"" H","109.8""",P265/70SR17,"41.7""","39.3""",46.3 cu ft,"4,750 lbs","5,000/5,000 lbs",16 city/19 hwy,"6-cyl, Gas, 4.0L",Four Wheel Drive,Automatic,Blue/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Chevrolet Trax LS,"$18,998*",45K miles,148 torque@1850rpm,138 horsepower@4900rpm,14 gal,"167.2"" L x 69.9"" W x 64.9"" H","100.6""",P205/70R16,"40.8""","39.6""",Null,"3,124 lbs",Null,26 city/31 hwy,"4-cyl, Turbo Gas, 1.4L",Front Wheel Drive,Automatic,Black/Black,,2']
2 year(s),,Null,,2021 Volkswagen Atlas SEL,"$37,998*",34K miles,266 torque@2750rpm,276 horsepower@6200rpm,18.6 gal,"198.3"" L x 78.3"" W x 70"" H","117.3""",P255/50HR20,"41.5""","41.3""",20.6 cu ft,"4,502 lbs","5,000/5,000 lbs",16 city/22 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,White/Gray,,2']
5 year(s),,Null,,2018 Mercedes-Benz GLC300,"$29,998*",54K miles,273 torque@1300rpm,241 horsepower@5500rpm,17.4 gal,"183.3"" L x 74.4"" W x 64.5"" H","113.1""",P235/60HR18,"40.8""","41.9""",19.4 cu ft,"4,001 lbs","3,500/3,500 lbs",21 city/28 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Kia Sorento SX,"$34,998*",44K miles,311 torque@1700rpm,281 horsepower@5800rpm,17.7 gal,"188.9"" L x 74.8"" W x 66.7"" H","110.8""",P255/45HR20,"41.4""","40.3""",12.6 cu ft,"4,120 lbs","3,500/3,500 lbs",21 city/28 hwy,"4-cyl, Turbo Gas, 2.5L",All Wheel Drive,Automatic,Black/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 GMC Yukon XL 1500 Denali,"$51,998*",39K miles,460 torque@4100rpm,420 horsepower@5600rpm,31.0 gal,"224.4"" L x 80.5"" W x 74.4"" H","130.0""",P275/55R20,"45.3""","42.8""",39.3 cu ft,"5,655 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Red/Black,,2']
9 year(s),No Accidents or Damage Reported,Null,,2014 Kia Soul +,"$14,998*",86K miles,151 torque@4000rpm,164 horsepower@6200rpm,14.2 gal,"163"" L x 70.9"" W x 63"" H","101.2""",P215/55HR17,"40.9""","39.6""",Null,"2,879 lbs",Null,23 city/31 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,Red/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Kia Telluride EX,"$31,998*",78K miles,262 torque@5200rpm,291 horsepower@6000rpm,18.8 gal,"196.9"" L x 78.3"" W x 68.9"" H","114.2""",P245/60HR18,"41.4""","39.5""",21 cu ft,"4,255 lbs","5,000/5,000 lbs",19 city/24 hwy,"6-cyl, Gas, 3.8L",All Wheel Drive,Automatic,Gray/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota 4Runner TRD Off Road Premium,"$38,998*",48K miles,278 torque@4400rpm,270 horsepower@5600rpm,23 gal,"191.3"" L x 75.8"" W x 71.5"" H","109.8""",P265/70SR17,"41.7""","39.3""",46.3 cu ft,"4,750 lbs","5,000/5,000 lbs",Null,"6-cyl, Gas, 4.0L",Four Wheel Drive,Automatic,Black/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Highlander XLE,"$41,998*",11K miles,263 torque@4700rpm,295 horsepower@6600rpm,17.9 gal,"194.9"" L x 76"" W x 68.1"" H","112.2""",P235/65VR18,"42""","39.6""",16 cu ft,"4,195 lbs","5,000/5,000 lbs",21 city/29 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,Black/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,5 Service Record(s) Reported,2017 Ford Explorer XLT,"$22,998*",83K miles,255 torque@4000rpm,290 horsepower@6500rpm,18.6 gal,"198.3"" L x 78.9"" W x 70"" H","112.8""",P245/60HR18,"42.9""","41.4""",21 cu ft,"4,443 lbs","2,000/2,000 lbs",17 city/24 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,White/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Subaru Crosstrek Premium,"$20,998*",94K miles,145 torque@4000rpm,152 horsepower@6000rpm,16.6 gal,"175.8"" L x 71"" W x 63.6"" H","104.9""",P225/60HR17,"43.1""","39.8""",20.8 cu ft,"3,186 lbs","1,500/1,500 lbs",27 city/33 hwy,"4-cyl, Gas, 2.0L",All Wheel Drive,Automatic,Black/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,,2015 Mercedes-Benz ML350,"$21,998*",74K miles,273 torque@3500rpm,302 horsepower@6500rpm,24.6 gal,"189.1"" L x 75.8"" W x 70.7"" H","114.8""",P255/50HR19,"40.3""","40.4""",38.2 cu ft,"4,751 lbs","7,200/7,200 lbs",17 city/22 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2016 Kia Soul,"$14,599*",62K miles,118 torque@4850rpm,130 horsepower@6300rpm,14.2 gal,"163"" L x 70.9"" W x 63"" H","101.2""",P205/60HR16,"40.9""","39.6""",Null,"2,784 lbs",Null,24 city/30 hwy,"4-cyl, Gas, 1.6L",Front Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2020 Toyota 4Runner SR5 Premium,"$40,998*",16K miles,278 torque@4400rpm,270 horsepower@5600rpm,23 gal,"190.2"" L x 75.8"" W x 71.5"" H","109.8""",P265/70SR17,"41.7""","39.3""",47.2 cu ft,"4,675 lbs","5,000/5,000 lbs",16 city/19 hwy,"6-cyl, Gas, 4.0L",Four Wheel Drive,Automatic,Silver/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Volkswagen Tiguan S,"$20,998*",56K miles,221 torque@1600rpm,184 horsepower@4400rpm,15.3 gal,"185.1"" L x 72.4"" W x 66.3"" H","109.8""",P215/65HR17,"40.2""","39.6""",12 cu ft,"3,777 lbs",Null,22 city/27 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,White/Gray,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota 4Runner SR5 Premium,"$40,998*",31K miles,278 torque@4400rpm,270 horsepower@5600rpm,23 gal,"190.2"" L x 75.8"" W x 71.5"" H","109.8""",P265/70SR17,"41.7""","39.3""",47.2 cu ft,"4,675 lbs","5,000/5,000 lbs",Null,"6-cyl, Gas, 4.0L",Four Wheel Drive,Automatic,Black/Gray,,2']
4 year(s),,Null,,2019 Toyota Highlander Hybrid Limited Platinum,"$39,998*",47K miles,215 torque@4800rpm,306 horsepower@5800rpm,17.2 gal,"192.5"" L x 75.8"" W x 68.1"" H","109.8""",P245/55SR19,"44.2""","39.8""",13.6 cu ft,"4,861 lbs","3,500/3,500 lbs",29 city/27 hwy,"6-cyl, Hybrid, 3.5L",All Wheel Drive,Automatic,Silver/Black,,2']
6 year(s),,Null,,2017 Kia Sorento LX,"$19,998*",68K miles,252 torque@5300rpm,290 horsepower@6400rpm,18.8 gal,"187.4"" L x 74.4"" W x 66.3"" H","109.4""",P235/65HR17,"44.1""","39.5""",11.3 cu ft,"4,101 lbs","5,000/5,000 lbs",18 city/25 hwy,"6-cyl, Gas, 3.3L",All Wheel Drive,Automatic,Black/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Ford Explorer XLT,"$32,998*",35K miles,310 torque@3500rpm,300 horsepower@5500rpm,19.2 gal,"198.8"" L x 78.9"" W x 69.9"" H","119.1""",P255/65HR18,"43""","40.7""",18.2 cu ft,"4,345 lbs","5,300/5,300 lbs",20 city/27 hwy,"4-cyl, Turbo Gas, 2.3L",Four Wheel Drive,Automatic,Blue/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Dodge Journey SE,"$20,998*",31K miles,166 torque@4000rpm,173 horsepower@6000rpm,20.5 gal,"192.4"" L x 72.2"" W x 66.6"" H","113.8""",P225/65HR17,"40.8""","40.8""",10.7 cu ft,"3,818 lbs","1,000/1,000 lbs",Null,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Blue/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Ford Escape S,"$19,998*",55K miles,177,180,14.7 gal,"180.5"" L x 74.1"" W x 66.1"" H","106.7""",P225/65HR17,"42.4""","40""",37.5 cu ft,"3,298 lbs","2,000/2,000 lbs",27 city/33 hwy,"3-cyl, Turbo Gas, 1.5L",Front Wheel Drive,Automatic,Gray/Gray,,2']
6 year(s),,Null,5 Service Record(s) Reported,2017 Chevrolet Traverse LT,"$19,998*",58K miles,266 torque@3400rpm,281 horsepower@6300rpm,22.0 gal,"203.70"" L x 78.50"" W x 69.90"" H","118.90""",P255/65R18,"41.30""","40.40""",24.4 cu ft,"4,713 lbs",Null,15 city/22 hwy,"6-cyl, Gas, 3.6L",Front Wheel Drive,Automatic,Silver/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota 4Runner SR5,"$33,998*",43K miles,278 torque@4400rpm,270 horsepower@5600rpm,23 gal,"190.2"" L x 75.8"" W x 71.5"" H","109.8""",P265/70SR17,"41.7""","39.3""",47.2 cu ft,"4,675 lbs","5,000/5,000 lbs",Null,"6-cyl, Gas, 4.0L",Four Wheel Drive,Automatic,White/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2021 Mazda CX-5 Sport,"$26,998*",10K miles,186 torque@4000rpm,187 horsepower@6000rpm,14.8 gal,"179.1"" L x 72.5"" W x 65.4"" H","106.2""",P225/65HR17,"41""","39.7""",30.9 cu ft,"3,552 lbs","2,000/2,000 lbs",25 city/31 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,Blue/Black,,2']
4 year(s),,Null,,2019 Hyundai Santa Fe Limited,"$25,998*",42K miles,260 torque@1450rpm,235 horsepower@6000rpm,18.8 gal,"187.8"" L x 74.4"" W x 67.1"" H","108.9""",P235/55HR19,"44.1""","41.2""",35.9 cu ft,"4,063 lbs",Null,19 city/24 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,Gray/Tan,,2']
5 year(s),,Null,3 Service Record(s) Reported,2018 Toyota Highlander XLE,"$24,998*",105K miles,263 torque@4700rpm,295 horsepower@6600rpm,19.2 gal,"192.5"" L x 75.8"" W x 68.1"" H","109.8""",P245/60TR18,"44.2""","39.5""",13.8 cu ft,"4,430 lbs","5,000/5,000 lbs",21 city/27 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,White/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,,2015 Nissan Rogue SV,"$20,998*",27K miles,175 torque@4400rpm,170 horsepower@6000rpm,14.5 gal,"182.3"" L x 72.4"" W x 66.3"" H","106.5""",P225/65HR17,"43""","41.6""",39.3 cu ft,"3,545 lbs","1,000/1,000 lbs",25 city/32 hwy,"4-cyl, Gas, 2.5L",All Wheel Drive,Automatic,Blue/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Honda Pilot Special Edition,"$38,998*",12K miles,262 torque@4700rpm,280 horsepower@6000rpm,19.5 gal,"196.5"" L x 78.6"" W x 70.6"" H","111""",P245/50HR20,"40.9""","39.5""",16.5 cu ft,"4,255 lbs","3,500/3,500 lbs",19 city/26 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Toyota RAV4 LE,"$27,998*",36K miles,184 torque@5000rpm,203 horsepower@6600rpm,14.5 gal,"180.9"" L x 73"" W x 67"" H","105.9""",P225/65HR17,"41""","39.5""",37.6 cu ft,"3,370 lbs","1,500/1,500 lbs",26 city/35 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,2019 Subaru Forester 2.5I Touring,"$27,998*",55K miles,176 torque@4400rpm,182 horsepower@5800rpm,16.6 gal,"182.1"" L x 71.5"" W x 68.1"" H","105.1""",P225/55HR18,"43.3""","40.2""",28.9 cu ft,"3,588 lbs","1,500/1,500 lbs",26 city/33 hwy,"4-cyl, Gas, 2.5L",All Wheel Drive,Automatic,Red/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Ford Explorer ST,"$46,998*",23K miles,415 torque@3500rpm,400 horsepower@5500rpm,21.8 gal,"198.8"" L x 78.9"" W x 70.2"" H","119.1""",P255/55HR20,"43""","40.7""",18.2 cu ft,"4,701 lbs","5,600/5,600 lbs",18 city/24 hwy,"6-cyl, Turbo Gas, 3.0L",Four Wheel Drive,Automatic,Red/Black,,2']
2 year(s),,Null,,2021 Toyota Venza Hybrid XLE,"$32,998*",45K miles,163 torque@3600rpm,219 horsepower@5700rpm,14.5 gal,"186.6"" L x 73"" W x 65.9"" H","105.9""",P225/55HR19,"40.9""","38.6""",28.8 cu ft,"3,891 lbs",Null,40 city/37 hwy,"4-cyl, Hybrid, 2.5L",All Wheel Drive,Automatic,Red/Black,,2']
5 year(s),,Null,7 Service Record(s) Reported,2018 Nissan Armada SV,"$24,998*",89K miles,394 torque@4000rpm,390 horsepower@5800rpm,26 gal,"208.9"" L x 79.9"" W x 75.8"" H","121.1""",P265/70HR18,"41.9""","40.9""",16.5 cu ft,"5,576 lbs","8,500/8,500 lbs",14 city/19 hwy,"8-cyl, Gas, 5.6L",Rear Wheel Drive,Automatic,Black/Black,,2']
1 year(s),,Null,9 Service Record(s) Reported,2022 Toyota Highlander Platinum,"$45,998*",32K miles,263 torque@4700rpm,295 horsepower@6600rpm,17.9 gal,"194.9"" L x 76"" W x 68.1"" H","112.2""",P235/55VR20,"42""","38.4""",16 cu ft,"4,450 lbs","5,000/5,000 lbs",20 city/27 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Gray/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Toyota Highlander Limited,"$24,998*",114K miles,263 torque@4700rpm,295 horsepower@6600rpm,19.2 gal,"192.5"" L x 75.8"" W x 68.1"" H","109.8""",P245/55TR19,"44.2""","39.5""",13.8 cu ft,"4,655 lbs","5,000/5,000 lbs",20 city/26 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,White/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Highlander Limited,"$42,998*",28K miles,263 torque@4700rpm,295 horsepower@6600rpm,17.9 gal,"194.9"" L x 76"" W x 68.1"" H","112.2""",P235/55VR20,"42""","39.6""",16 cu ft,"4,450 lbs","5,000/5,000 lbs",20 city/27 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Black/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Toyota Highlander XLE,"$42,998*",8K miles,310 torque@1700rpm,265 horsepower@6000rpm,17.9 gal,"194.9"" L x 76"" W x 68.1"" H","112.2""",P235/65VR18,"42""","38.4""",16 cu ft,"4,195 lbs","5,000/5,000 lbs",22 city/29 hwy,"4-cyl, Turbo Gas, 2.4L",Front Wheel Drive,Automatic,Green/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2016 Honda Pilot EX-L,"$24,998*",80K miles,262 torque@4700rpm,280 horsepower@6000rpm,19.5 gal,"194.5"" L x 78.6"" W x 69.8"" H","111""",P245/60HR18,"40.9""","39.5""",16.5 cu ft,"4,288 lbs",Null,18 city/26 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Blue/Gray,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Ford Escape S,"$18,998*",48K miles,170 torque@4500rpm,168 horsepower@6000rpm,15.7 gal,"178.1"" L x 72.4"" W x 66.3"" H","105.9""",P235/55HR17,"43.1""","39.9""",34.3 cu ft,"3,515 lbs","1,500/1,500 lbs",21 city/29 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,Orange/Gray,,2']
5 year(s),,Null,2 Service Record(s) Reported,2018 Kia Sportage LX,"$19,998*",49K miles,175 torque@4000rpm,181 horsepower@6000rpm,16.4 gal,"176.4"" L x 73"" W x 64.8"" H","105.1""",P225/60HR17,"41.5""","39.3""",30.7 cu ft,"3,448 lbs","1,650/1,650 lbs",21 city/25 hwy,"4-cyl, Gas, 2.4L",All Wheel Drive,Automatic,Red/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,,2020 Nissan Rogue SV,"$23,998*",55K miles,175 torque@4400rpm,170 horsepower@6000rpm,14.5 gal,"184.5"" L x 72.4"" W x 68.5"" H","106.5""",P225/65HR17,"43""","41.6""",39.3 cu ft,"3,615 lbs","1,102/1,102 lbs",25 city/32 hwy,"4-cyl, Gas, 2.5L",All Wheel Drive,Automatic,Gray/Black,,2']
3 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,2020 Honda CR-V EX-L,"$31,998*",29K miles,179 torque@2000rpm,190 horsepower@5600rpm,14 gal,"182.1"" L x 73"" W x 66.5"" H","104.7""",P235/60HR18,"41.3""","38""",39.2 cu ft,"3,536 lbs","1,500/1,500 lbs",27 city/32 hwy,"4-cyl, Turbo Gas, 1.5L",All Wheel Drive,Automatic,White/Tan,,2']
4 year(s),,Null,,2019 Nissan Armada Platinum,"$35,998*",48K miles,394 torque@4000rpm,390 horsepower@5800rpm,26 gal,"208.9"" L x 79.9"" W x 75.8"" H","121.1""",P275/60HR20,"41.9""","39.8""",16.5 cu ft,"5,716 lbs","8,500/8,500 lbs",14 city/19 hwy,"8-cyl, Gas, 5.6L",Rear Wheel Drive,Automatic,Black/Tan,,2']
5 year(s),No Accidents or Damage Reported,Null,9 Service Record(s) Reported,2018 Subaru Outback 2.5I Premium,"$24,998*",54K miles,174 torque@4000rpm,175 horsepower@5800rpm,18.5 gal,"189.6"" L x 72.4"" W x 66.1"" H","108.1""",P225/65HR17,"42.9""","40.8""",35.5 cu ft,"3,642 lbs","2,700/2,700 lbs",25 city/32 hwy,"4-cyl, Gas, 2.5L",All Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Subaru Ascent Premium,"$31,998*",32K miles,277 torque@2000rpm,260 horsepower@5600rpm,19.3 gal,"196.8"" L x 76"" W x 71.6"" H","113.8""",P245/60HR18,"42.2""","41.3""",17.8 cu ft,"4,477 lbs","5,000/5,000 lbs",21 city/27 hwy,"4-cyl, Turbo Gas, 2.4L",All Wheel Drive,Automatic,Blue/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,,2017 Jeep Wrangler Willys Wheeler,"$26,998*",64K miles,260 torque@4800rpm,285 horsepower@6400rpm,18.6 gal,"164.3"" L x 73.7"" W x 72.5"" H","95.4""",LT255/75SR17,"41""","41.3""",12.8 cu ft,"3,879 lbs","2,000/2,000 lbs",17 city/21 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,Black/Black,,2']
