ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
7 year(s),,Null,4 Service Record(s) Reported,2016 Lexus NX 200t,"$27,998*",40K miles,258 torque@1650rpm,235 horsepower@4800rpm,15.9 gal,"182.3"" L x 73.6"" W x 64.8"" H","104.7""",P225/65HR17,"42.8""","38.2""",17.7 cu ft,"3,940 lbs","2,000/2,000 lbs",22 city/28 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,White/Tan,,2']
4 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2019 Kia Sorento LX,"$20,998*",58K miles,178 torque@4000rpm,185 horsepower@6000rpm,18.8 gal,"189"" L x 74.4"" W x 66.3"" H","109.4""",P235/65HR17,"44.1""","39.5""",11.3 cu ft,"3,810 lbs","2,000/2,000 lbs",22 city/29 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Blue/Black,,2']
5 year(s),No Accidents or Damage Reported,Null,,2018 Jeep Wrangler Unlimited Sahara,"$27,998*",69K miles,260 torque@4800rpm,285 horsepower@6400rpm,22.5 gal,"184.9"" L x 73.7"" W x 72.6"" H","116""",P255/70SR18,"41""","41.3""",31.5 cu ft,"4,397 lbs","2,000/2,000 lbs",16 city/21 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,Silver/Black,,2']
8 year(s),No Accidents or Damage Reported,Null,,2015 Chevrolet Equinox LTZ,"$17,998*",74K miles,172 torque@4900rpm,182 horsepower@6700rpm,18.8 gal,"187.80"" L x 72.50"" W x 66.30"" H","112.50""",P235/55R18,"41.20""","40.90""",Null,"3,829 lbs",Null,22 city/32 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,13 Service Record(s) Reported,2017 GMC Yukon Denali,"$38,998*",86K miles,460 torque@4100rpm,420 horsepower@5600rpm,26.0 gal,"203.9"" L x 80.5"" W x 74.4"" H","116.0""",P275/55R20,"45.3""","42.8""",15.3 cu ft,"5,482 lbs",Null,15 city/22 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Black/Cream,,2']
5 year(s),No Accidents or Damage Reported,Null,14 Service Record(s) Reported,2018 Jeep Grand Cherokee Trailhawk,"$29,998*",65K miles,260 torque@4000rpm,295 horsepower@6400rpm,24.6 gal,"189.8"" L x 76.5"" W x 69.3"" H","114.8""",P265/60TR18,"40.3""","39.9""",36.3 cu ft,"5,004 lbs","6,200/6,200 lbs",18 city/25 hwy,"6-cyl, Gas, 3.6L",Four Wheel Drive,Automatic,White/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Nissan Rogue SV,"$29,998*",18K miles,225 torque@2800rpm,201 horsepower@5600rpm,14.5 gal,"183"" L x 72.4"" W x 66.5"" H","106.5""",P235/60HR18,"41.5""","41.1""",36.5 cu ft,"3,490 lbs","1,500/1,500 lbs",30 city/37 hwy,"3-cyl, Turbo Gas, 1.5L",Front Wheel Drive,Automatic,Black/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Genesis GV80,"$61,998*",4K miles,311 torque@1650rpm,300 horsepower@5800rpm,21.1 gal,"194.7"" L x 77.8"" W x 67.5"" H","116.3""",P265/55VR19,"41.6""","40.2""",34.9 cu ft,"4,850 lbs","6,000/6,000 lbs",20 city/24 hwy,"4-cyl, Turbo Gas, 2.5L",All Wheel Drive,Automatic,White/Cream,,2']
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota RAV4 Hybrid Limited,"$42,998*",16K miles,163 torque@3600rpm,219 horsepower@5700rpm,14.5 gal,"180.9"" L x 73"" W x 67"" H","105.9""",P225/60HR18,"41""","37.7""",37.5 cu ft,"3,780 lbs","1,750/1,750 lbs",41 city/38 hwy,"4-cyl, Hybrid, 2.5L",All Wheel Drive,Automatic,Blue/Black,,2']
2 year(s),No Accidents or Damage Reported,Null,,2021 Kia Telluride SX,"$43,998*",25K miles,262 torque@5200rpm,291 horsepower@6000rpm,18.8 gal,"196.9"" L x 78.3"" W x 68.9"" H","114.2""",P245/50VR20,"41.4""","39.5""",21 cu ft,"4,354 lbs","5,000/5,000 lbs",19 city/24 hwy,"6-cyl, Gas, 3.8L",All Wheel Drive,Automatic,Green/Black,,2']
