,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
30,2019 Chevrolet Camaro LT,"$23,998*",58K miles,4 year(s),No Accidents or Damage Reported,Null,,295 torque@3000-4500rpm,275 horsepower@5600rpm,19.0 gal,"188.3"" L x 74.7"" W x 52.9"" H","110.7""",245/50R18,"43.9""","38.4""",Null,"3,647 lbs",Null,20 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Null,Automatic,Gray/Black,None,2']
31,2020 Porsche 718 Boxster,"$64,998*",8K miles,3 year(s),No Accidents or Damage Reported,Null,,280 torque@1950rpm,300 horsepower@6500rpm,14.2 gal,"172.4"" L x 70.9"" W x 50.4"" H","97.4""",P235/45ZR18,"""","""",Null,"3,021 lbs",Null,20 city/26 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Manual 6 Speed,Yellow/Black,None,2']
32,2018 Ford Mustang Ecoboost Premium,"$24,998*",32K miles,5 year(s),,Null,,350 torque@3000rpm,310 horsepower@5500rpm,15.5 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Red/Black,None,2']
33,2018 Dodge Challenger R/T,"$30,998*",28K miles,5 year(s),No Accidents or Damage Reported,Null,,410 torque@4300rpm,375 horsepower@5150rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,190 lbs",Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Manual 6 Speed,Silver/Black,None,2']
34,2015 Dodge Dart SXT,"$15,998*",88K miles,8 year(s),,Null,9 Service Record(s) Reported,174 torque@4800rpm,184 horsepower@6250rpm,14.2 gal,"183.9"" L x 72"" W x 57.7"" H","106.4""",P205/55HR16,"42.2""","38.6""",Null,"3,165 lbs",Null,22 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Orange/Black,None,2']
35,2017 Jaguar XE,"$22,998*",36K miles,6 year(s),,Null,1 Service Record(s) Reported,251 torque@1750rpm,240 horsepower@5500rpm,16.6 gal,"183.9"" L x 72.8"" W x 55.7"" H","111.6""",P225/50HR17,"""","""",Null,"3,350 lbs",Null,21 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,Black/Black,None,2']
36,2023 Ford Mustang Mach 1,"$58,998*",4K miles,Current Year,No Accidents or Damage Reported,Null,,410 torque@4800rpm,470 horsepower@7000rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P255/40YR19,"44.5""","37.6""",Null,"3,868 lbs",Null,Null,"8-cyl, Gas, 5.0L",Null,Automatic,Gray/Black,None,2']
37,2014 Porsche Panamera 4,"$35,998*",54K miles,9 year(s),,Null,,295 torque@3750rpm,310 horsepower@6200rpm,21.1 gal,"197.4"" L x 76"" W x 55.8"" H","115""",P245/50YR18,"41.9""","38""",Null,"4,012 lbs",Null,18 city/27 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Silver/Brown,None,2']
38,2015 Volkswagen GTI SE,"$20,998*",62K miles,8 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,258 torque@1500rpm,210 horsepower@4500rpm,13.2 gal,"168"" L x 70.5"" W x 56.8"" H","103.6""",P225/40HR18,"41.2""","38.4""",Null,"2,972 lbs",Null,25 city/34 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Manual 6 Speed,Gray/Black,None,2']
39,2018 Acura TLX SH-AWD A-Spec,"$29,998*",44K miles,5 year(s),No Accidents or Damage Reported,Null,2 Service Record(s) Reported,267 torque@4500rpm,290 horsepower@6200rpm,17.2 gal,"191.5"" L x 73"" W x 57"" H","109.3""",P245/40VR19,"42.6""","37.2""",Null,"3,765 lbs",Null,20 city/29 hwy,"6-cyl, Gas, 3.5L",All Wheel Drive,Automatic,Black/Tan,None,2']
40,2015 Acura TLX,"$18,998*",93K miles,8 year(s),,Null,,182 torque@4500rpm,206 horsepower@6800rpm,17.2 gal,"190.3"" L x 73"" W x 57"" H","109.3""",P225/55VR17,"42.6""","37.2""",Null,"3,492 lbs",Null,24 city/35 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Maroon,None,2']
41,2020 Dodge Challenger R/T Scat Pack,"$43,998*",12K miles,3 year(s),No Accidents or Damage Reported,Null,,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"4,230 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Rear Wheel Drive,Manual 6 Speed,Purple/Black,None,2']
42,2020 Dodge Challenger SXT,"$26,998*",33K miles,3 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,305 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.5"" H","116.2""",P235/55HR19,"42""","39.3""",Null,"4,057 lbs",Null,18 city/27 hwy,"6-cyl, Gas, 3.6L",All Wheel Drive,Automatic,Burgundy/Black,None,2']
43,2013 BMW M3,"$35,998*",45K miles,10 year(s),,Null,8 Service Record(s) Reported,295 torque@3900rpm,414 horsepower@8300rpm,16.6 gal,"181.7"" L x 71.0"" W x 54.8"" H","108.7""",P245/40ZR18,"41.8""","38.0""",Null,"4,145 lbs",Null,13 city/20 hwy,"8-cyl, Gas, 4.0L",Null,Automatic,Red/Black,None,2']
44,2020 Ford Mustang Shelby GT350,"$65,998*",9K miles,3 year(s),No Accidents or Damage Reported,Null,,429 torque@4750rpm,526 horsepower@7500rpm,16 gal,"188.9"" L x 75.9"" W x 54.2"" H","107.1""",P295/35ZR19,"44.5""","37.6""",Null,"3,760 lbs",Null,14 city/21 hwy,"8-cyl, Gas, 5.2L",Rear Wheel Drive,Manual 6 Speed,Blue/Black,None,2']
45,2018 Ford Mustang Ecoboost Premium,"$22,998*",85K miles,5 year(s),,Null,,350 torque@3000rpm,310 horsepower@5500rpm,15.5 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
46,2018 Genesis G80,"$30,998*",21K miles,5 year(s),No Accidents or Damage Reported,Null,,293 torque@5000rpm,311 horsepower@6000rpm,20.3 gal,"196.5"" L x 74.4"" W x 58.3"" H","118.5""",P245/45VR18,"45.7""","41.1""",Null,"4,195 lbs",Null,19 city/27 hwy,"6-cyl, Gas, 3.8L",Rear Wheel Drive,Automatic,Black/Black,None,2']
47,2014 Hyundai Genesis,"$21,998*",28K miles,9 year(s),,Null,,275 torque@2000rpm,274 horsepower@6000rpm,17.2 gal,"182.3"" L x 73.4"" W x 54.5"" H","111""",P225/45VR18,"44.1""","39.2""",Null,"3,495 lbs",Null,17 city/27 hwy,"4-cyl, Turbo Gas, 2.0L",Rear Wheel Drive,Automatic,Black/Black,None,2']
48,2023 Ford Mustang Mach 1,"$56,998*",2K miles,Current Year,No Accidents or Damage Reported,Null,,410 torque@4800rpm,470 horsepower@7000rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P255/40YR19,"44.5""","37.6""",Null,"3,868 lbs",Null,Null,"8-cyl, Gas, 5.0L",Rear Wheel Drive,Manual 6 Speed,Gray/Black,None,2']
49,2016 Acura TLX,"$21,998*",55K miles,7 year(s),No Accidents or Damage Reported,Null,,267 torque@4500rpm,290 horsepower@6200rpm,17.2 gal,"190.3"" L x 73"" W x 57"" H","109.3""",P225/50VR18,"42.6""","37.2""",Null,"3,620 lbs",Null,21 city/34 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,Gray/Gray,None,2']
50,2015 BMW M4,"$35,998*",74K miles,8 year(s),No Accidents or Damage Reported,Null,10 Service Record(s) Reported,406 torque@1850rpm,425 horsepower@5500rpm,15.9 gal,"184.5"" L x 73.6"" W x 54.6"" H","110.7""",P255/40YR18,"42.2""","40.4""",Null,"4,055 lbs",Null,17 city/26 hwy,"6-cyl, Turbo Gas, 3.0L",Rear Wheel Drive,Automatic,Silver/Gray,None,2']
51,2014 Ford Mustang Shelby GT500,"$55,998*",25K miles,9 year(s),No Accidents or Damage Reported,Null,,631 torque@4000rpm,662 horsepower@6250rpm,16 gal,"189.4"" L x 73.9"" W x 55.4"" H","107.1""",P265/40WR19,"42.4""","38.5""",Null,"3,845 lbs",Null,15 city/24 hwy,"8-cyl, Supercharged Gas, 5.8L",Rear Wheel Drive,Manual 6 Speed,White/Black,None,2']
52,2015 Acura TLX,"$16,998*",123K miles,8 year(s),,Null,3 Service Record(s) Reported,267 torque@4500rpm,290 horsepower@6200rpm,17.2 gal,"190.3"" L x 73"" W x 57"" H","109.3""",P225/50VR18,"42.6""","37.2""",Null,"3,620 lbs",Null,21 city/34 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,Gray/Black,None,2']
53,2019 Mazda MX-5 Miata RF Grand Touring,"$28,998*",9K miles,4 year(s),No Accidents or Damage Reported,Null,,151 torque@4000rpm,181 horsepower@7000rpm,11.9 gal,"154.1"" L x 68.3"" W x 49"" H","90.9""",P205/45WR17,"43.1""","36.8""",Null,"2,493 lbs",Null,26 city/35 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Automatic,Red/Black,None,2']
54,2017 Ford Mustang Ecoboost,"$20,998*",102K miles,6 year(s),Multiple Damage Events,Null,,320 torque@2500rpm,310 horsepower@5500rpm,15.5 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/30 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Black/Black,None,2']
55,2014 Chevrolet Camaro LS,"$21,998*",12K miles,9 year(s),No Accidents or Damage Reported,Null,,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/55R18,"42.40""","37.40""",Null,"3,719 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Burgundy/Black,None,2']
56,2013 Mazda MX-5 Miata Club,"$18,998*",66K miles,10 year(s),No Accidents or Damage Reported,Null,,140 torque@5000rpm,158 horsepower@6700rpm,12.7 gal,"157.3"" L x 67.7"" W x 49.4"" H","91.7""",P205/45R17,"43.1""","37.0""",Null,"2,542 lbs",Null,21 city/28 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Automatic,Red/Black,None,2']
57,2018 Ford Mustang Ecoboost,"$22,998*",64K miles,5 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,350 torque@3000rpm,310 horsepower@5500rpm,15.5 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/55WR17,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
58,2020 Ford Mustang Ecoboost Premium,"$26,998*",38K miles,3 year(s),,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/50WR18,"44.5""","37.6""",Null,"3,532 lbs",Null,21 city/30 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Silver/Black,None,2']
59,2015 Chevrolet Camaro LT,"$19,998*",63K miles,8 year(s),,Null,,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.70"" H","112.30""",P245/55R18,"42.40""","37.80""",Null,"4,015 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Silver/Black,None,2']
60,2020 Acura TLX,"$26,998*",26K miles,3 year(s),,Null,,182 torque@4500rpm,206 horsepower@6800rpm,17.2 gal,"190.7"" L x 73"" W x 57"" H","109.3""",P225/55HR17,"42.6""","37.2""",Null,"3,505 lbs",Null,23 city/33 hwy,"4-cyl, Gas, 2.4L",Front Wheel Drive,Automatic,Black/Black,None,2']
61,2014 Chevrolet Corvette Stingray,"$38,998*",78K miles,9 year(s),,Null,,460 torque@4600rpm,455 horsepower@6000rpm,18.5 gal,"176.90"" L x 73.90"" W x 48.80"" H","106.70""",P245/40ZR18,"43.00""","37.90""",Null,"3,298 lbs",Null,17 city/29 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,Burgundy/Brown,None,2']
62,2016 Jaguar F-Type,"$34,998*",55K miles,7 year(s),No Accidents or Damage Reported,Null,4 Service Record(s) Reported,332 torque@3500rpm,340 horsepower@6500rpm,18.5 gal,"176"" L x 75.7"" W x 51.6"" H","103.2""",P245/45YR18,"43""","37""",Null,"3,477 lbs",Null,19 city/28 hwy,"6-cyl, Supercharged Gas, 3.0L",Rear Wheel Drive,Automatic,Black/Black,None,2']
63,2019 Ford Mustang Ecoboost Premium,"$23,998*",39K miles,4 year(s),,Null,,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20 city/28 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,Red/Black,None,2']
64,2019 Ford Mustang Ecoboost,"$23,998*",38K miles,4 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21 city/31 hwy,"4-cyl, Turbo Gas, 2.3L",Rear Wheel Drive,Automatic,White/Gray,None,2']
65,2018 Dodge Challenger R/T Plus,"$29,998*",42K miles,5 year(s),No Accidents or Damage Reported,Null,8 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15 city/23 hwy,"8-cyl, Gas, 5.7L",Rear Wheel Drive,Automatic,White/Black,None,2']
66,2018 Audi S4 Premium Plus,"$35,998*",22K miles,5 year(s),No Accidents or Damage Reported,Null,,369 torque@1370rpm,354 horsepower@5400rpm,15.3 gal,"186.8"" L x 72.5"" W x 55.3"" H","111.2""",P245/40YR18,"41.3""","38.9""",Null,"3,858 lbs",Null,21 city/30 hwy,"6-cyl, Turbo Gas, 3.0L",All Wheel Drive,Automatic,Red/Gray,None,2']
67,2021 Mazda MX-5 Miata Grand Touring,"$30,998*",4K miles,2 year(s),No Accidents or Damage Reported,Null,,151 torque@4000rpm,181 horsepower@7000rpm,11.9 gal,"154.1"" L x 68.3"" W x 48.8"" H","90.9""",P205/45WR17,"43.1""","37.4""",Null,"2,341 lbs",Null,26 city/34 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Manual 5 Speed,Gray/Black,None,2']
68,2023 Mazda MX-5 Miata Club,"$33,998*",3K miles,Current Year,No Accidents or Damage Reported,Null,,151 torque@4000rpm,181 horsepower@7000rpm,11.9 gal,"154.1"" L x 68.3"" W x 48.8"" H","90.9""",P205/45WR17,"43.1""","37.4""",Null,"2,341 lbs",Null,Null,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Manual 6 Speed,Silver/Black,None,2']
69,2019 Mazda MX-5 Miata Club,"$26,998*",10K miles,4 year(s),No Accidents or Damage Reported,Null,,151 torque@4000rpm,181 horsepower@7000rpm,11.9 gal,"154.1"" L x 68.3"" W x 48.8"" H","90.9""",P205/45WR17,"43.1""","37.4""",Null,"2,388 lbs",Null,26 city/35 hwy,"4-cyl, Gas, 2.0L",Rear Wheel Drive,Automatic,Red/Black,None,2']
