ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
1 year(s),No Accidents or Damage Reported,Null,,2022 Toyota Camry SE,"$26,998*",28K miles,184 torque@5000rpm,203 horsepower@6600rpm,15.8 gal,"192.7"" L x 72.4"" W x 56.9"" H","111.2""",P235/45VR18,"42.1""","38.3""",Null,"3,340 lbs",Null,28 city/39 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,White/Gray,,2']
4 year(s),,Null,1 Service Record(s) Reported,2019 Nissan Sentra S,"$19,998*",27K miles,125 torque@3600rpm,124 horsepower@6000rpm,13.2 gal,"182.1"" L x 69.3"" W x 58.9"" H","106.3""",P205/55HR16,"42.5""","39.4""",Null,"2,909 lbs",Null,27 city/35 hwy,"4-cyl, Gas, 1.8L",Front Wheel Drive,Automatic,Black/Black,,2']
Current Year,No Accidents or Damage Reported,Null,,2023 Hyundai Elantra N,"$33,998*",17K miles,289 torque@2100rpm,276 horsepower@5500rpm,12.4 gal,"184.1"" L x 71.9"" W x 55.7"" H","107.1""",P245/35YR19,"42.3""","39.9""",Null,"3,296 lbs",Null,20 city/30 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Blue/Black,,2']
7 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,2016 Chevrolet Malibu LT,"$18,998*",85K miles,184 torque@2500-3000rpm,160 horsepower@5700rpm,13.0 gal,"193.8"" L x 73.0"" W x 57.6"" H","111.4""",P225/55R17,"42.0""","39.1""",Null,"3,126 lbs",Null,27 city/37 hwy,"4-cyl, Turbo Gas, 1.5L",Front Wheel Drive,Automatic,Red/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Nissan Maxima Platinum,"$31,998*",33K miles,261 torque@4400rpm,300 horsepower@6400rpm,18 gal,"192.8"" L x 73.2"" W x 56.5"" H","109.3""",P245/40WR19,"45""","38.9""",Null,"3,676 lbs",Null,20 city/30 hwy,"6-cyl, Gas, 3.5L",Front Wheel Drive,Automatic,Blue/Brown,,2']
1 year(s),,Null,,2022 Hyundai Sonata SE,"$21,998*",50K miles,181 torque@4000rpm,191 horsepower@6100rpm,14.8 gal,"192.9"" L x 73.2"" W x 56.9"" H","111.8""",P205/65HR16,"46.1""","40""",Null,"3,120 lbs",Null,28 city/38 hwy,"4-cyl, Gas, 2.5L",Front Wheel Drive,Automatic,Gray/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,11 Service Record(s) Reported,2019 Mercedes-Benz A220,"$28,998*",34K miles,221 torque@1600rpm,188 horsepower@5800rpm,13 gal,"179.1"" L x 70.7"" W x 56.9"" H","107.4""",P205/55HR17,"41.8""","40.3""",Null,"3,417 lbs",Null,24 city/35 hwy,"4-cyl, Turbo Gas, 2.0L",All Wheel Drive,Automatic,White/Black,,2']
1 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2022 Kia Forte GT,"$25,998*",18K miles,195 torque@1500rpm,201 horsepower@6000rpm,14 gal,"182.7"" L x 70.9"" W x 56.5"" H","106.3""",P225/40HR18,"42.2""","38.8""",Null,"3,079 lbs",Null,27 city/35 hwy,"4-cyl, Turbo Gas, 1.6L",Front Wheel Drive,Automatic,Gray/Black,,2']
6 year(s),No Accidents or Damage Reported,Null,17 Service Record(s) Reported,2017 Kia Forte LX,"$13,599*",124K miles,132 torque@4500rpm,147 horsepower@6200rpm,13.2 gal,"179.5"" L x 70.1"" W x 56.3"" H","106.3""",P195/65HR15,"42.2""","39.1""",Null,"2,804 lbs",Null,29 city/38 hwy,"4-cyl, Gas, 2.0L",Front Wheel Drive,Automatic,White/Black,,2']
4 year(s),No Accidents or Damage Reported,Null,,2019 Honda Accord Touring,"$29,998*",17K miles,273 torque@1500rpm,252 horsepower@6500rpm,14.8 gal,"192.2"" L x 73.3"" W x 57.1"" H","111.4""",P235/40VR19,"42.3""","37.5""",Null,"3,428 lbs",Null,22 city/32 hwy,"4-cyl, Turbo Gas, 2.0L",Front Wheel Drive,Automatic,Silver/Gray,,2']
