ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
3 year(s),No Accidents or Damage Reported,Null,,2020 Lexus IS 300 F-Sport,"$34,998*",26K miles,17.4 gal,"110.2""","44.8""","38.2""",Null,"3,583 lbs",Null,Rear Wheel Drive,Automatic,258,1650,"184.3"" L "," 71.3"" W "," 56.3"" H",21 city,30 hwy,4-cyl, Turbo Gas, 2.0L,White,Red,1563.6363636363637
4 year(s),No Accidents or Damage Reported,Null,,2019 Hyundai Elantra SE,"$17,998*",40K miles,14 gal,"106.3""","42.2""","40.3""",Null,"2,844 lbs",Null,Front Wheel Drive,Automatic,132,4500,"181.9"" L "," 70.9"" W "," 56.5"" H",29 city,38 hwy,4-cyl, Gas, 2.0L,Gray,Gray,293.3333333333333
5 year(s),No Accidents or Damage Reported,Null,,2018 Toyota Camry SE,"$24,998*",49K miles,16 gal,"111.2""","42.1""","38.3""",Null,"3,340 lbs",Null,Front Wheel Drive,Automatic,184,5000,"192.7"" L "," 72.4"" W "," 56.9"" H",28 city,39 hwy,4-cyl, Gas, 2.5L,Green,Gray,368.0
2 year(s),No Accidents or Damage Reported,Null,,2021 Honda Civic LX,"$22,998*",43K miles,12.4 gal,"106.3""","42.3""","39.3""",Null,"2,771 lbs",Null,Front Wheel Drive,Automatic,138,4200,"182.7"" L "," 70.9"" W "," 55.7"" H",30 city,38 hwy,4-cyl, Gas, 2.0L,Blue,Black,328.57142857142856
9 year(s),No Accidents or Damage Reported,Null,,2014 Hyundai Azera Limited,"$16,998*",79K miles,18.5 gal,"112""","45.5""","40.3""",Null,"3,605 lbs",Null,Front Wheel Drive,Automatic,255,5200,"193.3"" L "," 73.2"" W "," 57.9"" H",19 city,29 hwy,6-cyl, Gas, 3.3L,Silver,Tan,490.38461538461536
2 year(s),No Accidents or Damage Reported,Null,,2021 Genesis G70 3.3T,"$34,998*",30K miles,15.8 gal,"111.6""","42.6""","38.5""",Null,"3,887 lbs",Null,All Wheel Drive,Automatic,376,1300,"184.4"" L "," 72.8"" W "," 55.1"" H",17 city,25 hwy,6-cyl, Turbo Gas, 3.3L,Blue,Black,2892.3076923076924
2 year(s),No Accidents or Damage Reported,Null,,2021 Nissan Sentra SV,"$20,998*",51K miles,12.4 gal,"106.8""","44""","38.9""",Null,"3,038 lbs",Null,Front Wheel Drive,Automatic,146,4400,"182.7"" L "," 71.5"" W "," 56.9"" H",Null,Null,4-cyl, Gas, 2.0L,Silver,Black,331.8181818181818
4 year(s),,Null,1 Service Record(s) Reported,2019 Infiniti Q50 Signature Edition,"$27,998*",50K miles,20 gal,"112.2""","44.5""","39.5""",Null,"3,778 lbs",Null,Rear Wheel Drive,Automatic,295,1500,"189.6"" L "," 71.8"" W "," 56.8"" H",20 city,29 hwy,6-cyl, Turbo Gas, 3.0L,Blue,Black,1966.6666666666665
8 year(s),No Accidents or Damage Reported,Null,8 Service Record(s) Reported,2015 Ford Focus SE,"$15,998*",36K miles,12.4 gal,"104.3""","41.9""","38.3""",Null,"2,960 lbs",Null,Front Wheel Drive,Automatic,146,4450,"178.5"" L "," 71.8"" W "," 57.7"" H",26 city,36 hwy,4-cyl, Gas, 2.0L,Blue,Gray,328.08988764044943
4 year(s),No Accidents or Damage Reported,Null,,2019 Kia Optima SX,"$20,998*",85K miles,18.5 gal,"110.4""","45.5""","39.8""",Null,"3,558 lbs",Null,Front Wheel Drive,Automatic,260,1350,"191.1"" L "," 73.2"" W "," 57.7"" H",21 city,30 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1925.9259259259259
4 year(s),No Accidents or Damage Reported,Null,,2019 Lincoln MKZ Standard,"$21,998*",57K miles,16.5 gal,"112.2""","44.3""","37.9""",Null,"3,739 lbs",Null,Front Wheel Drive,Automatic,275,3000,"194.1"" L "," 73.4"" W "," 58.2"" H",20 city,31 hwy,4-cyl, Turbo Gas, 2.0L,Silver,Black,916.6666666666666
5 year(s),No Accidents or Damage Reported,Null,,2018 Nissan Maxima S,"$22,998*",44K miles,18 gal,"109.3""","45""","39.4""",Null,"3,478 lbs",Null,Front Wheel Drive,Automatic,261,4400,"192.8"" L "," 73.2"" W "," 56.5"" H",21 city,30 hwy,6-cyl, Gas, 3.5L,Black,Black,593.1818181818181
6 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2017 Mercedes-Benz C300,"$25,998*",50K miles,17.4 gal,"111.8""","41.7""","37.1""",Null,"3,594 lbs",Null,All Wheel Drive,Automatic,273,1300,"184.5"" L "," 71.3"" W "," 56.8"" H",24 city,31 hwy,4-cyl, Turbo Gas, 2.0L,White,Black,2100.0
4 year(s),No Accidents or Damage Reported,Null,,2019 Mercedes-Benz A220,"$27,998*",55K miles,13 gal,"107.4""","41.8""","40.3""",Null,"3,417 lbs",Null,All Wheel Drive,Automatic,221,1600,"179.1"" L "," 70.7"" W "," 56.9"" H",24 city,35 hwy,4-cyl, Turbo Gas, 2.0L,White,Black,1381.25
3 year(s),,Null,,2020 BMW 330 I xDrive,"$32,998*",24K miles,15.6 gal,"112.2""","42""","38.7""",Null,"3,764 lbs",Null,All Wheel Drive,Automatic,295,1550,"185.7"" L "," 71.9"" W "," 57"" H",25 city,34 hwy,4-cyl, Turbo Gas, 2.0L,Black,Tan,1903.2258064516127
2 year(s),No Accidents or Damage Reported,Null,,2021 BMW 330 I xDrive,"$38,998*",6K miles,15.6 gal,"112.2""","42""","38.7""",Null,"3,764 lbs",Null,All Wheel Drive,Automatic,295,1550,"185.7"" L "," 71.9"" W "," 57"" H",25 city,34 hwy,4-cyl, Turbo Gas, 2.0L,White,Black,1903.2258064516127
4 year(s),No Accidents or Damage Reported,Null,,2019 Kia Forte LXS,"$17,998*",48K miles,14 gal,"106.3""","42.2""","38.8""",Null,"2,762 lbs",Null,Front Wheel Drive,Automatic,132,4500,"182.7"" L "," 70.9"" W "," 56.5"" H",30 city,40 hwy,4-cyl, Gas, 2.0L,Red,Black,293.3333333333333
Current Year,No Accidents or Damage Reported,Null,,2023 Kia Forte GT,"$26,998*",16K miles,14 gal,"106.3""","42.2""","38.8""",Null,"3,079 lbs",Null,Front Wheel Drive,Automatic,195,1500,"182.7"" L "," 70.9"" W "," 56.5"" H",27 city,35 hwy,4-cyl, Turbo Gas, 1.6L,Gray,Black,1300.0
3 year(s),,Null,,2020 Nissan Altima SR,"$21,998*",44K miles,16 gal,"111.2""","43.8""","39.2""",Null,"3,414 lbs",Null,All Wheel Drive,Automatic,178,3600,"192.9"" L "," 72.9"" W "," 57.4"" H",25 city,35 hwy,4-cyl, Gas, 2.5L,Red,Black,494.44444444444446
1 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,2022 Hyundai Elantra N,"$31,998*",32K miles,12.4 gal,"107.1""","42.3""","39.9""",Null,"3,296 lbs",Null,Front Wheel Drive,Automatic,289,2100,"184.1"" L "," 71.9"" W "," 55.7"" H",Null,Null,4-cyl, Turbo Gas, 2.0L,Blue,Black,1376.1904761904761
6 year(s),,Null,5 Service Record(s) Reported,2017 Lexus ES 350,"$27,998*",44K miles,17.2 gal,"111""","41.9""","37.5""",Null,"3,571 lbs",Null,Front Wheel Drive,Automatic,248,4700,"193.3"" L "," 71.7"" W "," 57.1"" H",21 city,30 hwy,6-cyl, Gas, 3.5L,Black,Gray,527.6595744680851
6 year(s),,Null,,2017 Mercedes-Benz C300,"$24,998*",49K miles,17.4 gal,"111.8""","41.7""","37.1""",Null,"3,417 lbs",Null,Rear Wheel Drive,Automatic,273,1300,"184.5"" L "," 71.3"" W "," 56.8"" H",24 city,34 hwy,4-cyl, Turbo Gas, 2.0L,Blue,Gray,2100.0
Current Year,,Null,,2023 Toyota Camry XSE,"$34,998*",21K miles,14.4 gal,"111.2""","42.1""","38.3""",Null,"3,580 lbs",Null,All Wheel Drive,Automatic,185,4600,"192.7"" L "," 72.4"" W "," 57.1"" H",Null,Null,4-cyl, Gas, 2.5L,Silver,Red,402.17391304347825
9 year(s),No Accidents or Damage Reported,Null,,2014 Mercedes-Benz C300 Sport,"$19,998*",61K miles,17.4 gal,"108.7""","41.7""","37.1""",Null,"3,726 lbs",Null,All Wheel Drive,Automatic,251,3500,"180.8"" L "," 69.7"" W "," 56.3"" H",20 city,27 hwy,6-cyl, Gas, 3.5L,Black,Black,717.1428571428571
5 year(s),,Null,1 Service Record(s) Reported,2018 Nissan Kicks SV,"$17,998*",84K miles,10.8 gal,"103.1""","43.7""","40.7""",25.3 cu ft,"2,654 lbs",Null,Front Wheel Drive,Automatic,115,4000,"169.1"" L "," 69.3"" W "," 62.4"" H",31 city,36 hwy,4-cyl, Gas, 1.6L,White,Black,287.5
6 year(s),No Accidents or Damage Reported,Null,,2017 Ford Fusion Titanium,"$20,998*",53K miles,16.5 gal,"112.2""","44.3""","39.2""",Null,"3,526 lbs",Null,Front Wheel Drive,Automatic,270,3000,"191.7"" L "," 72.9"" W "," 58.1"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,900.0
6 year(s),No Accidents or Damage Reported,Null,,2017 Lincoln MKZ Reserve,"$21,998*",52K miles,16.5 gal,"112.2""","44.3""","37.9""",Null,"3,739 lbs",Null,Front Wheel Drive,Automatic,270,3000,"194.1"" L "," 73.4"" W "," 58.2"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.0L,White,Tan,900.0
3 year(s),,Null,1 Service Record(s) Reported,2020 Mercedes-Benz E450,"$43,998*",40K miles,21.1 gal,"115.7""","41.3""","37.9""",Null,"4,134 lbs",Null,All Wheel Drive,Automatic,369,1600,"193.8"" L "," 72.9"" W "," 57.8"" H",20 city,28 hwy,6-cyl, Turbo Gas, 3.0L,White,Tan,2306.25
4 year(s),No Accidents or Damage Reported,Null,,2019 Toyota Corolla LE,"$18,998*",77K miles,13.2 gal,"106.3""","42.3""","38.3""",Null,"2,870 lbs",Null,Front Wheel Drive,Automatic,128,4400,"183.1"" L "," 69.9"" W "," 57.3"" H",28 city,36 hwy,4-cyl, Gas, 1.8L,White,Black,290.90909090909093
3 year(s),No Accidents or Damage Reported,Null,,2020 Acura ILX Premium A-Spec,"$25,998*",42K miles,13.2 gal,"105.1""","42.3""","38""",Null,"3,144 lbs",Null,Front Wheel Drive,Automatic,180,3600,"182.2"" L "," 70.6"" W "," 55.6"" H",24 city,34 hwy,4-cyl, Gas, 2.4L,Gray,Black,500.0
3 year(s),No Accidents or Damage Reported,Null,,2020 Genesis G70,"$33,998*",26K miles,15.8 gal,"111.6""","42.6""","38.5""",Null,"3,774 lbs",Null,Rear Wheel Drive,Automatic,376,1300,"184.4"" L "," 72.8"" W "," 55.1"" H",17 city,26 hwy,6-cyl, Turbo Gas, 3.3L,Red,Black,2892.3076923076924
5 year(s),No Accidents or Damage Reported,Null,9 Service Record(s) Reported,2018 Honda Accord Sport,"$26,998*",69K miles,14.8 gal,"111.4""","42.3""","37.5""",Null,"3,377 lbs",Null,Front Wheel Drive,Automatic,273,1500,"192.2"" L "," 73.3"" W "," 57.1"" H",22 city,32 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1820.0
3 year(s),No Accidents or Damage Reported,Null,,2020 Hyundai Accent SE,"$18,998*",34K miles,11.9 gal,"101.6""","42.1""","38.9""",Null,"2,679 lbs",Null,Front Wheel Drive,Automatic,113,4500,"172.6"" L "," 68.1"" W "," 57.1"" H",33 city,41 hwy,4-cyl, Gas, 1.6L,Blue,Black,251.11111111111111
1 year(s),No Accidents or Damage Reported,Null,,2022 Honda Accord EX-L,"$31,998*",4K miles,14.8 gal,"111.4""","42.3""","37.5""",Null,"3,221 lbs",Null,Front Wheel Drive,Automatic,192,1600,"196.1"" L "," 73.3"" W "," 57.1"" H",30 city,38 hwy,4-cyl, Turbo Gas, 1.5L,White,Black,1200.0
3 year(s),,Null,1 Service Record(s) Reported,2020 Mazda Mazda6 Touring,"$24,998*",28K miles,16.4 gal,"111.4""","42.2""","37.4""",Null,"3,437 lbs",Null,Front Wheel Drive,Automatic,186,4000,"192.7"" L "," 72.4"" W "," 57.1"" H",Null,Null,4-cyl, Gas, 2.5L,Gray,Black,465.0
3 year(s),No Accidents or Damage Reported,Null,,2020 Hyundai Sonata SEL,"$23,998*",33K miles,14.8 gal,"110.4""","46.1""","40""",Null,"3,192 lbs",Null,Front Wheel Drive,Automatic,181,4000,"192.9"" L "," 73.2"" W "," 56.9"" H",27 city,37 hwy,4-cyl, Gas, 2.5L,Gray,Gray,452.5
3 year(s),No Accidents or Damage Reported,Null,,2020 Kia Rio LX,"$18,998*",19K miles,11.9 gal,"101.6""","42.1""","38.9""",Null,"2,767 lbs",Null,Front Wheel Drive,Automatic,112,4500,"172.6"" L "," 67.9"" W "," 57.1"" H",33 city,41 hwy,4-cyl, Gas, 1.6L,Black,Black,248.88888888888889
4 year(s),No Accidents or Damage Reported,Null,,2019 Chevrolet Impala LT,"$21,998*",59K miles,18.5 gal,"111.70""","45.80""","39.90""",Null,Null,Null,Front Wheel Drive,Automatic,191,4400,"201.30"" L "," 73.00"" W "," 58.90"" H",29 hwy,,4-cyl, Gas, 2.5L,Black,Black,434.0909090909091
4 year(s),No Accidents or Damage Reported,Null,,2019 Nissan Sentra SR,"$19,998*",29K miles,13.2 gal,"106.3""","42.5""","39.4""",Null,"2,904 lbs",Null,Front Wheel Drive,Automatic,125,3600,"182.5"" L "," 69.3"" W "," 58.9"" H",29 city,37 hwy,4-cyl, Gas, 1.8L,Gray,Black,347.22222222222223
8 year(s),No Accidents or Damage Reported,Null,,2015 Nissan Sentra SV,"$15,998*",81K miles,13.2 gal,"106.3""","42.5""","39.4""",Null,"2,873 lbs",Null,Front Wheel Drive,Automatic,128,3600,"182.1"" L "," 69.3"" W "," 58.9"" H",29 city,39 hwy,4-cyl, Gas, 1.8L,Gray,Black,355.55555555555554
8 year(s),No Accidents or Damage Reported,Null,,2015 Chevrolet Sonic LTZ,"$12,998*",110K miles,12.2 gal,"99.40""","41.80""","38.70""",Null,"2,806 lbs",Null,Front Wheel Drive,Automatic,125,3800,"173.10"" L "," 68.30"" W "," 59.70"" H",27 city,37 hwy,4-cyl, Turbo Gas, 1.4L,Pearl,Black,328.9473684210526
8 year(s),No Accidents or Damage Reported,Null,,2015 Nissan Sentra SV,"$13,599*",119K miles,13.2 gal,"106.3""","42.5""","39.4""",Null,"2,873 lbs",Null,Front Wheel Drive,Automatic,128,3600,"182.1"" L "," 69.3"" W "," 58.9"" H",29 city,39 hwy,4-cyl, Gas, 1.8L,Black,Black,355.55555555555554
1 year(s),,Null,,2022 Hyundai Elantra SEL,"$22,998*",24K miles,14 gal,"107.1""","42.3""","40.6""",Null,"2,868 lbs",Null,Front Wheel Drive,Automatic,132,4500,"184.1"" L "," 71.9"" W "," 55.7"" H",31 city,41 hwy,4-cyl, Gas, 2.0L,Black,Gray,293.3333333333333
2 year(s),No Accidents or Damage Reported,Null,,2021 Lexus IS 350 F-Sport,"$41,998*",20K miles,17.4 gal,"110.2""","44.8""","38.2""",Null,"3,748 lbs",Null,Rear Wheel Drive,Automatic,280,4800,"185.4"" L "," 72.4"" W "," 56.5"" H",20 city,28 hwy,6-cyl, Gas, 3.5L,Silver,Black,583.3333333333334
2 year(s),,Null,,2021 Volkswagen Jetta R-Line,"$23,998*",27K miles,13.2 gal,"105.7""","41.1""","38.5""",Null,"2,888 lbs",Null,Front Wheel Drive,Manual 6 Speed,184,1400,"185.1"" L "," 70.8"" W "," 57.4"" H",30 city,,4-cyl, Turbo Gas, 1.4L,Gray,Tan,1314.2857142857142
1 year(s),No Accidents or Damage Reported,Null,,2022 Kia Forte GT-Line,"$22,998*",34K miles,14 gal,"106.3""","42.2""","38.8""",Null,"2,908 lbs",Null,Front Wheel Drive,Automatic,132,4500,"182.7"" L "," 70.9"" W "," 56.5"" H",29 city,39 hwy,4-cyl, Gas, 2.0L,Blue,Black,293.3333333333333
Current Year,No Accidents or Damage Reported,Null,,2023 Honda Civic Sport,"$27,998*",11K miles,12.4 gal,"107.7""","42.3""","39.3""",Null,"2,935 lbs",Null,Front Wheel Drive,Automatic,138,4200,"183.3"" L "," 70.9"" W "," 55.7"" H",Null,Null,4-cyl, Gas, 2.0L,Gray,Black,328.57142857142856
4 year(s),,Null,,2019 Mitsubishi Mirage G4 ES,"$13,599*",99K miles,9.2 gal,"100.4""","41.7""","38.9""",Null,"2,172 lbs",Null,Front Wheel Drive,Automatic,74,4000,"169.5"" L "," 65.7"" W "," 59.2"" H",35 city,41 hwy,3-cyl, Gas, 1.2L,Blue,Black,185.0
10 year(s),,Null,4 Service Record(s) Reported,2013 Chrysler 200 Limited,Price unavailable*,114K miles,16.900 gal,"108.900""","42.400""","40.100""",Null,"3,576 lbs",Null,Front Wheel Drive,Automatic,260,4400,"191.700"" L "," 71.500"" W "," 58.400"" H",19 city,29 hwy,6-cyl, Gas, 3.6L,Gray,Black,590.9090909090909
4 year(s),No Accidents or Damage Reported,Null,,2019 Hyundai Elantra SE,"$17,998*",54K miles,14 gal,"106.3""","42.2""","40.3""",Null,"2,844 lbs",Null,Front Wheel Drive,Automatic,132,4500,"181.9"" L "," 70.9"" W "," 56.5"" H",29 city,38 hwy,4-cyl, Gas, 2.0L,Silver,Black,293.3333333333333
1 year(s),No Accidents or Damage Reported,Null,,2022 Honda Accord Hybrid Sport,"$27,998*",53K miles,12.8 gal,"111.4""","42.3""","37.5""",Null,"3,375 lbs",Null,Front Wheel Drive,Automatic,129,3500,"196.1"" L "," 73.3"" W "," 57.1"" H",44 city,41 hwy,4-cyl, Hybrid, 2.0L,Silver,Black,368.5714285714286
