,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
138,2016 Volvo XC90 T6 Momentum,24998,89 ,7,No Accidents or Damage Reported,0,3,18.8,117.5,40.9,38.9,12.6 cu ft,4394,"5,000/5,000 lbs",All Wheel Drive,Automatic,295,2200,194.8,79.1,69.9,20,25,4, Turbo Supercharged,2.0,Black,Black,1340.9
139,2013 Ford Edge Limited,18998,75 ,10,No Accidents or Damage Reported,0,0,19.2,111.2,40.7,40.0,0,4234,Null,All Wheel Drive,Automatic,253,4000,184.2,76.0,67.0,18,25,6, Gas,3.5,Red,Black,632.5
140,2017 Ford Escape Titanium,19998,66 ,6,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3 cu ft,3502,"2,000/2,000 lbs",Front Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,23,30,4, Turbo Gas,1.5,Black,Black,708.0
141,2018 Toyota RAV4 XLE,23998,60 ,5,No Accidents or Damage Reported,0,0,15.9,104.7,42.6,38.9,38.4 cu ft,3485,"1,500/1,500 lbs",Front Wheel Drive,Automatic,172,4100,181.1,72.6,65.9,23,30,4, Gas,2.5,White,Black,419.5
142,2019 Honda CR-V EX-L,29998,25 ,4,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,38.0,39.2 cu ft,3492,Null,All Wheel Drive,Automatic,179,2000,180.6,73.0,66.5,27,33,4, Turbo Gas,1.5,Red,Gray,895.0
143,2020 Honda CR-V EX,28998,38 ,3,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,38.0,39.2 cu ft,3521,"1,500/1,500 lbs",All Wheel Drive,Automatic,179,2000,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,White,Gray,895.0
144,2020 Toyota Highlander XLE,34998,42 ,3,No Accidents or Damage Reported,0,0,17.9,112.2,40.4,38.4,16 cu ft,4195,"5,000/5,000 lbs",Front Wheel Drive,Automatic,263,4700,194.9,76.0,68.1,21,29,6, Gas,3.5,Gray,Black,559.6
145,2020 Mazda CX-9 Touring,30998,32 ,3,No Accidents or Damage Reported,0,6,19.0,115.3,41.0,39.3,14.4 cu ft,4225,"3,500/3,500 lbs",Front Wheel Drive,Automatic,310,2000,199.4,77.5,67.6,22,28,4, Turbo Gas,2.5,Gray,Black,1550.0
146,2019 Nissan Rogue SV,23998,27 ,4,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3 cu ft,3488,"1,102/1,102 lbs",Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,Red,Black,397.7
147,2020 Nissan Rogue SL,27998,23 ,3,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3 cu ft,3551,"1,102/1,102 lbs",Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.0,26,33,4, Gas,2.5,Gray,Black,397.7
