Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
20,2015 BMW Z4 SDrive35i,"$34,998*",26K miles,8 year(s),No Accidents or Damage Reported,Null,8 Service Record(s) Reported,14.5 gal,"98.3""","42.2""","39.1""",Null,Null,Null,Rear Wheel Drive,Automatic,300,1400,"166.9"" L "," 70.5"" W "," 50.8"" H",17 city,24 hwy,6-cyl, Turbo Gas, 3.0L,Black,Cream,2142.8571428571427
23,2019 Toyota 86,"$22,998*",96K miles,4 year(s),No Accidents or Damage Reported,Null,,13.2 gal,"101.2""","41.9""","37.1""",Null,"2,776 lbs",Null,Rear Wheel Drive,Manual 6 Speed,156,6400,"166.7"" L "," 69.9"" W "," 50.6"" H",21 city,28 hwy,4-cyl, Gas, 2.0L,Black,Black,243.75
24,2021 Ford Mustang Ecoboost Premium,"$24,998*",57K miles,2 year(s),No Accidents or Damage Reported,Null,,16 gal,"107.1""","44.5""","37.6""",Null,"3,642 lbs",Null,Null,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.9"" H",27 hwy,,4-cyl, Turbo Gas, 2.3L,White,Black,1166.6666666666667
25,2018 Genesis G80,"$29,998*",17K miles,5 year(s),,Null,,20.3 gal,"118.5""","45.7""","41.1""",Null,"4,350 lbs",Null,All Wheel Drive,Automatic,293,5000,"196.5"" L "," 74.4"" W "," 58.3"" H",18 city,25 hwy,6-cyl, Gas, 3.8L,Silver,Black,586.0
29,2015 Chevrolet Camaro SS,"$26,998*",75K miles,8 year(s),No Accidents or Damage Reported,Null,,19.0 gal,"112.30""","42.40""","37.40""",Null,"3,908 lbs",Null,Rear Wheel Drive,Manual 6 Speed,420,4600,"190.6"" L "," 75.50"" W "," 54.20"" H",16 city,24 hwy,8-cyl, Gas, 6.2L,Black,Gray,913.0434782608696
31,2020 Porsche 718 Boxster,"$64,998*",8K miles,3 year(s),No Accidents or Damage Reported,Null,,14.2 gal,"97.4""","""","""",Null,"3,021 lbs",Null,Rear Wheel Drive,Manual 6 Speed,280,1950,"172.4"" L "," 70.9"" W "," 50.4"" H",20 city,26 hwy,4-cyl, Turbo Gas, 2.0L,Yellow,Black,1435.8974358974358
32,2018 Ford Mustang Ecoboost Premium,"$24,998*",32K miles,5 year(s),,Null,,15.5 gal,"107.1""","44.5""","37.6""",Null,"3,532 lbs",Null,Rear Wheel Drive,Automatic,350,3000,"188.3"" L "," 75.4"" W "," 54.4"" H",21 city,31 hwy,4-cyl, Turbo Gas, 2.3L,Red,Black,1166.6666666666667
33,2018 Dodge Challenger R/T,"$30,998*",28K miles,5 year(s),No Accidents or Damage Reported,Null,,18.5 gal,"116.2""","42""","39.3""",Null,"4,190 lbs",Null,Rear Wheel Drive,Manual 6 Speed,410,4300,"197.9"" L "," 75.7"" W "," 57.5"" H",15 city,23 hwy,8-cyl, Gas, 5.7L,Silver,Black,953.4883720930233
34,2015 Dodge Dart SXT,"$15,998*",88K miles,8 year(s),,Null,9 Service Record(s) Reported,14.2 gal,"106.4""","42.2""","38.6""",Null,"3,165 lbs",Null,Front Wheel Drive,Automatic,174,4800,"183.9"" L "," 72"" W "," 57.7"" H",22 city,35 hwy,4-cyl, Gas, 2.4L,Orange,Black,362.5
35,2017 Jaguar XE,"$22,998*",36K miles,6 year(s),,Null,1 Service Record(s) Reported,16.6 gal,"111.6""","""","""",Null,"3,350 lbs",Null,Rear Wheel Drive,Automatic,251,1750,"183.9"" L "," 72.8"" W "," 55.7"" H",21 city,30 hwy,4-cyl, Turbo Gas, 2.0L,Black,Black,1434.2857142857142
