ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
5 year(s),,Null,,2018 Toyota 4Runner Limited,"$33,998*",58K miles,23 gal,"109.8""","41.7""","38.6""",47.2 cu ft,"4,525 lbs","5,000/5,000 lbs",Rear Wheel Drive,Automatic,278,4400,"190.7"" L "," 75.8"" W "," 71.5"" H",17 city,21 hwy,6-cyl, Gas, 4.0L,Black,Black,631.8181818181819
3 year(s),No Accidents or Damage Reported,Null,,2020 Kia Soul LX,"$19,998*",16K miles,14.3 gal,"102.4""","41.1""","39.4""",Null,"2,844 lbs",Null,Front Wheel Drive,Automatic,132,4500,"165.2"" L "," 70.9"" W "," 63"" H",27 city,33 hwy,4-cyl, Gas, 2.0L,Red,Tan,293.3333333333333
7 year(s),No Accidents or Damage Reported,Null,,2016 Nissan Murano SL,"$21,998*",69K miles,19 gal,"111.2""","40.5""","38.1""",39.6 cu ft,"3,977 lbs","1,499/1,499 lbs",All Wheel Drive,Automatic,240,4400,"192.4"" L "," 75.4"" W "," 66.6"" H",21 city,28 hwy,6-cyl, Gas, 3.5L,Silver,Brown,545.4545454545454
8 year(s),No Accidents or Damage Reported,Null,20 Service Record(s) Reported,2015 Acura MDX,"$18,998*",116K miles,19.5 gal,"111""","41.4""","38.1""",14.8 cu ft,"4,294 lbs","3,500/3,500 lbs",All Wheel Drive,Automatic,267,4500,"193.6"" L "," 77.2"" W "," 67.6"" H",18 city,27 hwy,6-cyl, Gas, 3.5L,White,Tan,593.3333333333334
4 year(s),No Accidents or Damage Reported,Null,,2019 Buick Encore Preferred,"$19,998*",45K miles,14.0 gal,"100.60""","40.82""","39.58""",Null,"3,237 lbs",Null,Front Wheel Drive,Automatic,148,1850,"168.35"" L "," 70.10"" W "," 65.25"" H",25 city,30 hwy,4-cyl, Turbo Gas, 1.4L,Black,Black,800.0
1 year(s),No Accidents or Damage Reported,Null,,2022 Nissan Kicks SR,"$24,998*",15K miles,10.8 gal,"103.1""","43.7""","40.4""",25.3 cu ft,"2,744 lbs",Null,Front Wheel Drive,Automatic,114,4000,"169.1"" L "," 69.3"" W "," 63.4"" H",31 city,36 hwy,4-cyl, Gas, 1.6L,White,Black,285.0
6 year(s),,Null,6 Service Record(s) Reported,2017 Chevrolet Traverse Premier,"$22,998*",85K miles,22.0 gal,"118.90""","41.30""","40.40""",24.4 cu ft,"4,956 lbs",Null,All Wheel Drive,Automatic,270,3400,"203.70"" L "," 78.50"" W "," 69.90"" H",15 city,22 hwy,6-cyl, Gas, 3.6L,White,Black,794.1176470588235
Current Year,No Accidents or Damage Reported,Null,,2023 Hyundai Santa Fe SEL,"$29,998*",39K miles,18.8 gal,"108.9""","44.1""","41.2""",36.4 cu ft,"3,960 lbs","2,000/2,000 lbs",All Wheel Drive,Automatic,181,4000,"188.4"" L "," 74.8"" W "," 66.3"" H",22 city,25 hwy,4-cyl, Gas, 2.5L,White,Black,452.5
1 year(s),No Accidents or Damage Reported,Null,,2022 Jeep Grand Cherokee WK Laredo X,"$33,998*",24K miles,24.6 gal,"114.8""","40.3""","39.9""",36.3 cu ft,"4,625 lbs","3,500/3,500 lbs",Four Wheel Drive,Automatic,257,4000,"189.8"" L "," 76.5"" W "," 69.3"" H",18 city,25 hwy,6-cyl, Gas, 3.6L,White,Black,642.5
7 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2016 Hyundai Tucson Sport,"$18,998*",60K miles,16.4 gal,"105.1""","41.5""","39.6""",31 cu ft,"3,499 lbs","1,000/1,000 lbs",All Wheel Drive,Automatic,195,1500,"176.2"" L "," 72.8"" W "," 64.8"" H",24 city,28 hwy,4-cyl, Turbo Gas, 1.6L,Gray,Black,1300.0
