,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
135,0,No Accidents or Damage Reported,0,0,2023 Kia Forte GT,26998,16,195,106.3,42.2,38.8,Null,3079,Null,Front Wheel Drive,Automatic,195,1500,182.7,70.9,56.5,27,35,4, Turbo Gas,1.6,Gray,Black,1300.0
136,3,No Accidents or Damage Reported,0,0,2020 Nissan Altima SR,21998,44,178,111.2,43.8,39.2,Null,3414,Null,All Wheel Drive,Automatic,178,3600,192.9,72.9,57.4,25,35,4, Gas,2.5,Red,Black,494.4
137,6,No Accidents or Damage Reported,0,5,2017 Lexus ES 350,27998,44,248,111.0,41.9,37.5,Null,3571,Null,Front Wheel Drive,Automatic,248,4700,193.3,71.7,57.1,21,30,6, Gas,3.5,Black,Gray,527.7
138,6,No Accidents or Damage Reported,0,0,2017 Mercedes-Benz C300,24998,49,273,111.8,41.7,37.1,Null,3417,Null,Rear Wheel Drive,Automatic,273,1300,184.5,71.3,56.8,24,34,4, Turbo Gas,2.0,Blue,Gray,2100.0
139,9,No Accidents or Damage Reported,0,0,2014 Mercedes-Benz C300 Sport,19998,61,251,108.7,41.7,37.1,Null,3726,Null,All Wheel Drive,Automatic,251,3500,180.8,69.7,56.3,20,27,6, Gas,3.5,Black,Black,717.1
140,5,No Accidents or Damage Reported,0,1,2018 Nissan Kicks SV,17998,84,115,103.1,43.7,40.7,25.3 cu ft,2654,Null,Front Wheel Drive,Automatic,115,4000,169.1,69.3,62.4,31,36,4, Gas,1.6,White,Black,287.5
141,6,No Accidents or Damage Reported,0,0,2017 Ford Fusion Titanium,20998,53,270,112.2,44.3,39.2,Null,3526,Null,Front Wheel Drive,Automatic,270,3000,191.7,72.9,58.1,21,31,4, Turbo Gas,2.0,Gray,Black,900.0
142,6,No Accidents or Damage Reported,0,0,2017 Lincoln MKZ Reserve,21998,52,270,112.2,44.3,37.9,Null,3739,Null,Front Wheel Drive,Automatic,270,3000,194.1,73.4,58.2,21,31,4, Turbo Gas,2.0,White,Tan,900.0
143,3,No Accidents or Damage Reported,0,1,2020 Mercedes-Benz E450,43998,40,369,115.7,41.3,37.9,Null,4134,Null,All Wheel Drive,Automatic,369,1600,193.8,72.9,57.8,20,28,6, Turbo Gas,3.0,White,Tan,2306.2
144,4,No Accidents or Damage Reported,0,0,2019 Toyota Corolla LE,18998,77,128,106.3,42.3,38.3,Null,2870,Null,Front Wheel Drive,Automatic,128,4400,183.1,69.9,57.3,28,36,4, Gas,1.8,White,Black,290.9
