,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
116,2018 Lexus RX 350 L,"$35,998*",55K miles,5,No Accidents or Damage Reported,0,0,19.2,109.8,41.4,39.8,6.2,4619,0,All Wheel Drive,Automatic,263,4700,196.9,74.6,67.3,18,25,6, Gas,3.5,White,Black,559.6
117,2018 Hyundai Tucson SEL Plus,"$22,998*",28K miles,5,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31.0,3300,1000,Front Wheel Drive,Automatic,151,4000,176.2,72.8,64.8,23,30,4, Gas,2.0,Black,Tan,377.5
118,2017 Hyundai Tucson SE,"$17,998*",57K miles,6,No Accidents or Damage Reported,0,1,16.4,105.1,41.5,39.6,31.0,3300,1000,Front Wheel Drive,Automatic,151,4000,176.2,72.8,64.8,23,30,4, Gas,2.0,Burgundy,Tan,377.5
119,2017 Ford Edge Sport,"$19,998*",99K miles,6,No Accidents or Damage Reported,0,0,18.0,112.2,42.6,40.2,39.2,4401,2000,All Wheel Drive,Automatic,350,2750,188.1,75.9,68.6,17,24,6, Turbo Gas,2.7,White,Black,1272.7
120,2017 Ford Escape SE,"$15,998*",90K miles,6,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3,3502,2000,Front Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,23,30,4, Turbo Gas,1.5,Orange,Gray,708.0
122,2013 Toyota RAV4 LE,"$17,998*",92K miles,10,No Accidents or Damage Reported,0,12,15.9,104.7,42.6,39.8,0.0,3435,0,Front Wheel Drive,Automatic,172,4000,179.9,72.6,65.4,24,31,4, Gas,2.5,Tan,Tan,430.0
123,2018 Honda Pilot EX-L,"$27,998*",66K miles,5,No Accidents or Damage Reported,0,2,19.5,111.0,40.9,39.5,16.5,4288,3500,All Wheel Drive,Automatic,262,4700,194.5,78.6,69.8,18,26,6, Gas,3.5,Silver,Gray,557.4
124,2018 Nissan Kicks SV,"$17,998*",84K miles,5,No Accidents or Damage Reported,0,1,10.8,103.1,43.7,40.7,25.3,2654,0,Front Wheel Drive,Automatic,115,4000,169.1,69.3,62.4,31,36,4, Gas,1.6,White,Black,287.5
125,2019 Mazda CX-5 Grand Touring,"$26,998*",49K miles,4,No Accidents or Damage Reported,0,0,15.3,106.2,41.0,39.3,30.9,3679,2000,All Wheel Drive,Automatic,186,4000,179.1,72.5,65.3,24,30,4, Gas,2.5,Red,Black,465.0
126,2020 Ford EcoSport S,"$18,998*",38K miles,3,No Accidents or Damage Reported,0,0,13.6,99.2,42.9,39.6,20.9,3020,1400,Front Wheel Drive,Automatic,125,6000,161.3,69.5,64.8,27,29,3, Turbo Gas,1.0,White,Black,208.3
