,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
0,2014 GMC Terrain SLT,"$17,998*",81K miles,9,No Accidents or Damage Reported,0,1,18.0,112.5,41.2,39.8,0.0,3867,0,Front Wheel Drive,Automatic,272,4800,185.3,72.8,66.3,17,24,6, Gas,3.6,Black,Brown,566.7
1,2019 Hyundai Tucson SE,"$22,998*",23K miles,4,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31.0,3455,1000,All Wheel Drive,Automatic,150,4700,176.4,72.8,64.8,22,25,4, Gas,2.0,Brown,Cream,319.1
2,2018 BMW X5 XDrive35i,"$33,998*",43K miles,5,No Accidents or Damage Reported,0,6,22.4,115.5,40.4,40.5,35.8,4790,5952,All Wheel Drive,Automatic,300,1200,192.4,76.3,69.4,18,24,6, Turbo Gas,3.0,Gray,Black,2500.0
3,2018 BMW X1 XDrive28i,"$24,998*",60K miles,5,No Accidents or Damage Reported,0,5,16.1,105.1,40.4,41.9,27.1,3697,0,All Wheel Drive,Automatic,258,1450,175.4,71.7,62.9,22,31,4, Turbo Gas,2.0,Blue,Black,1779.3
4,2020 Hyundai Santa Fe Limited,"$27,998*",43K miles,3,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,35.9,3803,0,Front Wheel Drive,Automatic,178,4000,187.8,74.4,66.1,22,29,4, Gas,2.4,Black,Gray,445.0
5,2016 Jeep Compass High Altitude,"$14,998*",111K miles,7,No Accidents or Damage Reported,0,0,13.5,103.7,40.6,39.9,22.7,3345,1000,Four Wheel Drive,Automatic,165,4400,175.1,71.4,65.0,20,26,4, Gas,2.4,Black,Black,375.0
6,2016 Jeep Compass Sport,"$15,998*",89K miles,7,No Accidents or Damage Reported,0,6,13.5,103.7,40.6,40.7,22.7,3258,1000,Four Wheel Drive,Automatic,165,4400,175.1,71.4,65.0,22,27,4, Gas,2.4,Black,Black,375.0
7,2017 GMC Terrain SLT,"$18,998*",94K miles,6,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,39.8,0.0,4054,0,All Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,20,28,4, Gas,2.4,Gray,Black,351.0
8,2018 Ford Escape SEL,"$18,998*",56K miles,5,No Accidents or Damage Reported,0,1,15.7,105.9,43.1,39.9,34.3,3576,2000,Front Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,23,30,4, Turbo Gas,1.5,White,Black,708.0
9,2018 Subaru Crosstrek Premium,"$20,998*",94K miles,5,No Accidents or Damage Reported,0,0,16.6,104.9,43.1,39.8,20.8,3186,1500,All Wheel Drive,Automatic,145,4000,175.8,71.0,63.6,27,33,4, Gas,2.0,Black,Black,362.5
11,2013 Hyundai Santa Fe Sport,"$14,998*",117K miles,10,No Accidents or Damage Reported,0,1,17.4,106.3,41.3,39.6,0.0,3459,0,Front Wheel Drive,Automatic,181,4250,184.6,74.0,66.1,21,29,4, Gas,2.4,Orange,Gray,425.9
12,2017 Ford Escape S,"$18,998*",48K miles,6,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3,3515,1500,Front Wheel Drive,Automatic,170,4500,178.1,72.4,66.3,21,29,4, Gas,2.5,Orange,Gray,377.8
13,2017 GMC Terrain SLE,"$16,998*",101K miles,6,No Accidents or Damage Reported,0,4,18.8,112.5,41.2,39.8,0.0,3792,0,Front Wheel Drive,Automatic,172,4900,185.5,72.8,66.3,21,31,4, Gas,2.4,Gray,Black,351.0
14,2017 Mitsubishi Outlander Sport ES,"$18,998*",23K miles,6,No Accidents or Damage Reported,0,0,16.6,105.1,41.6,39.4,21.7,3032,0,Front Wheel Drive,Manual 5 Speed,145,4200,171.5,71.3,64.8,23,29,4, Gas,2.0,Silver,Black,345.2
15,2018 BMW X3 XDrive30i,"$28,998*",56K miles,5,No Accidents or Damage Reported,0,4,17.2,112.8,40.3,41.1,28.7,4156,0,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,White,Black,1779.3
16,2015 Acura MDX,"$18,998*",116K miles,8,No Accidents or Damage Reported,0,20,19.5,111.0,41.4,38.1,14.8,4294,3500,All Wheel Drive,Automatic,267,4500,193.6,77.2,67.6,18,27,6, Gas,3.5,White,Tan,593.3
17,2019 Jeep Compass Altitude,"$24,998*",51K miles,4,No Accidents or Damage Reported,0,3,13.5,103.8,41.8,39.2,27.2,3184,1000,Front Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Black,Black,448.7
19,2018 Kia Sorento LX,"$20,998*",60K miles,5,No Accidents or Damage Reported,0,6,18.8,109.4,44.1,39.5,11.3,3840,2000,All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,Gray,Black,445.0
20,2016 Jeep Patriot High Altitude,"$15,998*",97K miles,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23.0,3210,1000,Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,White,Black,282.0
21,2018 Hyundai Tucson SEL,"$16,998*",101K miles,5,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31.0,3300,1000,Front Wheel Drive,Automatic,151,4000,176.2,72.8,64.8,23,30,4, Gas,2.0,Blue,Black,377.5
23,2020 Volvo XC90 T6 Momentum,"$39,998*",32K miles,3,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6,4394,5000,All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,20,27,4, Turbo Supercharged,2.0,White,Tan,1340.9
24,2016 Audi Q5 Premium Plus,"$22,998*",65K miles,7,No Accidents or Damage Reported,0,1,19.8,110.5,41.0,39.4,29.1,4200,4400,All Wheel Drive,Automatic,258,1500,182.6,74.7,65.2,20,28,4, Turbo Gas,2.0,Pearl,Tan,1720.0
25,2016 Kia Sorento EX,"$18,998*",76K miles,7,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,38.8,4004,3500,All Wheel Drive,Automatic,260,1450,187.4,74.4,66.3,19,25,4, Turbo Gas,2.0,White,Black,1793.1
26,2017 Nissan Rogue SV,"$16,998*",116K miles,6,No Accidents or Damage Reported,0,8,14.5,106.5,43.0,41.6,39.3,3441,1000,Front Wheel Drive,Automatic,175,4400,184.5,72.4,68.1,26,33,4, Gas,2.5,Blue,Gray,397.7
27,2014 Nissan Rogue S,"$14,998*",124K miles,9,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3393,1000,Front Wheel Drive,Automatic,175,4400,182.3,72.4,66.3,26,33,4, Gas,2.5,Silver,Tan,397.7
28,2018 Kia Sportage EX,"$17,998*",82K miles,5,No Accidents or Damage Reported,0,6,16.4,105.1,41.5,39.3,30.7,3305,1650,Front Wheel Drive,Automatic,175,4000,176.4,73.0,64.8,22,29,4, Gas,2.4,Blue,Black,437.5
29,2019 Volvo XC90 T6 Momentum,"$37,998*",36K miles,4,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6,4394,5000,All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,19,26,4, Turbo Supercharged,2.0,Blue,Tan,1340.9
30,2014 Cadillac SRX Premium,"$24,998*",41K miles,9,No Accidents or Damage Reported,0,1,21.0,110.5,41.2,39.7,0.0,4442,0,All Wheel Drive,Automatic,265,2400,190.3,75.2,65.7,16,23,6, Gas,3.6,Blue,Black,1104.2
31,2020 Jeep Renegade Altitude,"$23,998*",13K miles,3,No Accidents or Damage Reported,0,0,12.7,101.2,41.2,41.1,18.5,3056,0,Front Wheel Drive,Automatic,175,3900,166.6,74.2,66.5,22,30,4, Gas,2.4,Black,Black,448.7
32,2019 Jeep Compass Sport,"$20,998*",40K miles,4,No Accidents or Damage Reported,0,2,13.5,103.8,41.8,39.2,27.2,3184,1000,Front Wheel Drive,Automatic,175,3900,173.0,73.8,64.6,23,32,4, Gas,2.4,Blue,Black,448.7
33,2015 Subaru Forester 2.0XT Touring,"$17,998*",114K miles,8,No Accidents or Damage Reported,0,0,15.9,103.9,43.0,40.0,31.5,3651,1500,All Wheel Drive,Automatic,258,2000,180.9,70.7,68.2,23,28,4, Turbo Gas,2.0,Gray,Black,1290.0
34,2016 Nissan Murano SL,"$21,998*",69K miles,7,No Accidents or Damage Reported,0,0,19.0,111.2,40.5,38.1,39.6,3977,1499,All Wheel Drive,Automatic,240,4400,192.4,75.4,66.6,21,28,6, Gas,3.5,Silver,Brown,545.5
35,2019 Volvo XC90 T6 Momentum,"$34,998*",46K miles,4,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6,4394,5000,All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,19,26,4, Turbo Supercharged,2.0,Black,Champagne,1340.9
36,2015 Hyundai Santa Fe Sport 2.0T,"$18,998*",80K miles,8,No Accidents or Damage Reported,0,0,17.4,106.3,41.3,39.6,35.4,3706,3500,All Wheel Drive,Automatic,269,1750,184.6,74.0,66.1,18,24,4, Turbo Gas,2.0,Red,Tan,1537.1
37,2019 Kia Sorento LX,"$20,998*",58K miles,4,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,11.3,3810,2000,Front Wheel Drive,Automatic,178,4000,189.0,74.4,66.3,22,29,4, Gas,2.4,Blue,Black,445.0
38,2017 Honda Pilot EX-L,"$21,998*",117K miles,6,No Accidents or Damage Reported,0,1,19.5,111.0,40.9,39.5,16.5,4288,0,All Wheel Drive,Automatic,262,4700,194.5,78.6,69.8,18,26,6, Gas,3.5,Silver,Gray,557.4
39,2020 Hyundai Tucson SE,"$24,998*",3K miles,3,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31.0,3455,1000,All Wheel Drive,Automatic,150,4700,176.4,72.8,64.8,22,25,4, Gas,2.0,Gray,Gray,319.1
40,2015 Chevrolet Equinox LTZ,"$17,998*",74K miles,8,No Accidents or Damage Reported,0,0,18.8,112.5,41.2,40.9,0.0,3829,0,Front Wheel Drive,Automatic,172,4900,187.8,72.5,66.3,22,32,4, Gas,2.4,Black,Black,351.0
41,2013 Ford Edge SE,"$15,998*",80K miles,10,No Accidents or Damage Reported,0,1,18.3,111.2,40.7,40.0,0.0,4056,0,Front Wheel Drive,Automatic,253,4000,184.2,76.0,67.0,19,27,6, Gas,3.5,Black,Black,632.5
42,2012 Chevrolet Captiva Sport LT,"$12,998*",118K miles,11,No Accidents or Damage Reported,0,11,19.2,106.6,40.7,40.2,0.0,3831,3500,Front Wheel Drive,Automatic,222,5100,180.1,72.8,67.0,17,24,6, Gas,3.0,White,Black,435.3
43,2016 Acura MDX,"$24,998*",66K miles,7,No Accidents or Damage Reported,0,10,19.5,111.0,41.5,38.1,15.0,4262,3500,All Wheel Drive,Automatic,267,4700,193.6,77.2,67.6,18,26,6, Gas,3.5,White,Tan,568.1
44,2017 Kia Sorento LX,"$19,998*",61K miles,6,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,38.8,3840,2000,All Wheel Drive,Automatic,178,4000,187.4,74.4,66.3,21,25,4, Gas,2.4,Gray,Gray,445.0
45,2012 Acura MDX,"$16,998*",104K miles,11,Multiple Damage Events,0,1,21.0,108.3,41.2,39.2,15.0,4550,0,All Wheel Drive,Automatic,270,4500,191.6,78.5,68.2,16,21,6, Gas,3.7,Black,Tan,600.0
46,2016 Volvo XC60 T5 Premier,"$16,998*",113K miles,7,No Accidents or Damage Reported,0,0,18.5,109.2,41.2,38.0,30.8,4041,3500,Front Wheel Drive,Automatic,258,1500,182.8,74.4,67.4,23,31,4, Turbo Gas,2.0,White,Black,1720.0
47,2019 Mazda CX-5 Signature,"$25,998*",54K miles,4,No Accidents or Damage Reported,0,0,15.3,106.2,41.0,39.3,30.9,3825,2000,All Wheel Drive,Automatic,310,2000,179.1,72.5,65.3,22,27,4, Turbo Gas,2.5,Silver,Brown,1550.0
48,2017 Nissan Rogue Sport SL,"$21,998*",50K miles,6,No Accidents or Damage Reported,0,0,14.5,104.2,42.8,39.6,22.9,3415,0,All Wheel Drive,Automatic,147,4400,172.4,72.3,63.3,24,30,4, Gas,2.0,Black,Black,334.1
49,2020 Volvo XC90 T6 Momentum,"$36,998*",29K miles,3,No Accidents or Damage Reported,0,0,18.8,117.5,40.9,38.9,12.6,4394,5000,All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,20,27,4, Turbo Supercharged,2.0,Blue,Black,1340.9
50,2018 Honda CR-V EX,"$25,998*",56K miles,5,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,38.0,39.2,3358,0,Front Wheel Drive,Automatic,179,2000,180.6,73.0,66.1,28,34,4, Turbo Gas,1.5,Black,Tan,895.0
51,2021 Toyota Highlander Platinum,"$43,998*",38K miles,2,No Accidents or Damage Reported,0,0,17.9,112.2,40.4,38.4,16.0,4450,5000,All Wheel Drive,Automatic,263,4700,194.9,76.0,68.1,20,27,6, Gas,3.5,Red,Brown,559.6
52,2018 Ford Escape SE,"$19,998*",54K miles,5,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.3,3668,2000,Four Wheel Drive,Automatic,177,2500,178.1,72.4,66.3,22,28,4, Turbo Gas,1.5,Gold,Tan,708.0
53,2019 Ford Escape Titanium,"$17,998*",111K miles,4,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,34.0,3755,2000,Four Wheel Drive,Automatic,275,3000,178.1,72.4,66.3,21,27,4, Turbo Gas,2.0,Silver,Black,916.7
54,2018 Volkswagen Atlas SE,"$28,998*",50K miles,5,No Accidents or Damage Reported,0,1,18.6,117.3,41.5,41.3,20.6,4502,0,All Wheel Drive,Automatic,266,2750,198.3,78.3,70.0,17,23,6, Gas,3.6,White,Black,967.3
55,2016 Jeep Patriot High Altitude,"$16,998*",74K miles,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23.0,3210,1000,Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,Gray,Black,282.0
56,2020 Audi Q5 Titanium Premium,"$28,998*",72K miles,3,No Accidents or Damage Reported,0,0,18.5,111.0,41.0,40.2,25.1,4034,4400,All Wheel Drive,Automatic,273,1600,183.6,74.5,65.3,22,28,4, Turbo Gas,2.0,Gray,Black,1706.2
57,2019 Toyota Highlander LE,"$25,998*",71K miles,4,No Accidents or Damage Reported,0,0,19.2,109.8,44.2,40.7,13.8,4244,5000,Front Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,20,27,6, Gas,3.5,White,Gray,559.6
58,2018 Toyota Highlander Hybrid XLE,"$35,998*",54K miles,5,No Accidents or Damage Reported,0,1,17.2,109.8,44.2,39.5,13.8,4464,3500,All Wheel Drive,Automatic,215,4800,192.5,75.8,68.1,29,27,6, Hybrid,3.5,Gray,Black,447.9
59,2019 Chevrolet Trax LS,"$18,998*",45K miles,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.8,39.6,0.0,3124,0,Front Wheel Drive,Automatic,148,1850,167.2,69.9,64.9,26,31,4, Turbo Gas,1.4,Black,Black,800.0
60,2014 GMC Acadia SLT,"$19,998*",84K miles,9,No Accidents or Damage Reported,0,0,22.0,118.9,41.3,40.3,24.1,4850,0,All Wheel Drive,Automatic,270,3400,200.8,78.9,70.4,16,23,6, Gas,3.6,Gray,Black,794.1
61,2015 Mercedes-Benz ML350,"$21,998*",74K miles,8,No Accidents or Damage Reported,0,0,24.6,114.8,40.3,40.4,38.2,4751,7200,All Wheel Drive,Automatic,273,3500,189.1,75.8,70.7,17,22,6, Gas,3.5,Gray,Black,780.0
62,2019 Hyundai Tucson SEL,"$17,998*",97K miles,4,No Accidents or Damage Reported,0,0,16.4,105.1,41.5,39.6,31.0,3426,1000,Front Wheel Drive,Automatic,175,4000,176.4,72.8,64.8,22,28,4, Gas,2.4,White,Gray,437.5
63,2019 Buick Encore Preferred,"$19,998*",45K miles,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.82,39.58,0.0,3237,0,Front Wheel Drive,Automatic,148,1850,168.35,70.1,65.25,25,30,4, Turbo Gas,1.4,Black,Black,800.0
64,2019 Toyota Highlander Hybrid Limited Platinum,"$39,998*",47K miles,4,No Accidents or Damage Reported,0,0,17.2,109.8,44.2,39.8,13.6,4861,3500,All Wheel Drive,Automatic,215,4800,192.5,75.8,68.1,29,27,6, Hybrid,3.5,Silver,Black,447.9
65,2019 Acura RDX,"$28,998*",60K miles,4,No Accidents or Damage Reported,0,0,17.1,108.3,41.6,39.6,29.5,4026,0,All Wheel Drive,Automatic,280,1600,186.8,74.8,65.7,21,27,4, Turbo Gas,2.0,Gray,Black,1750.0
66,2019 Hyundai Santa Fe Limited,"$24,998*",42K miles,4,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,35.9,4063,0,All Wheel Drive,Automatic,260,1450,187.8,74.4,67.1,19,24,4, Turbo Gas,2.0,Gray,Tan,1793.1
67,2018 Toyota Highlander XLE,"$24,998*",105K miles,5,No Accidents or Damage Reported,0,3,19.2,109.8,44.2,39.5,13.8,4430,5000,Front Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,21,27,6, Gas,3.5,White,Black,559.6
68,2019 Kia Niro EX,"$24,998*",55K miles,4,No Accidents or Damage Reported,0,1,11.9,106.3,41.7,40.1,19.4,3199,0,Front Wheel Drive,Automatic,195,2400,171.5,71.1,60.4,51,46,4, Hybrid,1.6,Blue,Gray,812.5
69,2019 Subaru Forester 2.5I Touring,"$27,998*",55K miles,4,No Accidents or Damage Reported,0,7,16.6,105.1,43.3,40.2,28.9,3588,1500,All Wheel Drive,Automatic,176,4400,182.1,71.5,68.1,26,33,4, Gas,2.5,Red,Black,400.0
70,2019 Jeep Compass Trailhawk,"$23,998*",52K miles,4,No Accidents or Damage Reported,0,4,13.5,103.8,41.8,39.2,27.2,3633,1000,Four Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,30,4, Gas,2.4,White,Black,448.7
71,2017 Toyota Highlander Limited,"$24,998*",114K miles,6,No Accidents or Damage Reported,0,0,19.2,109.8,44.2,39.5,13.8,4655,5000,All Wheel Drive,Automatic,263,4700,192.5,75.8,68.1,20,26,6, Gas,3.5,White,Black,559.6
72,2016 Hyundai Tucson Sport,"$18,998*",60K miles,7,No Accidents or Damage Reported,0,3,16.4,105.1,41.5,39.6,31.0,3499,1000,All Wheel Drive,Automatic,195,1500,176.2,72.8,64.8,24,28,4, Turbo Gas,1.6,Gray,Black,1300.0
73,2016 Honda Pilot EX-L,"$24,998*",80K miles,7,No Accidents or Damage Reported,0,1,19.5,111.0,40.9,39.5,16.5,4288,0,All Wheel Drive,Automatic,262,4700,194.5,78.6,69.8,18,26,6, Gas,3.5,Blue,Gray,557.4
74,2015 Nissan Rogue SV,"$20,998*",27K miles,8,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3545,1000,All Wheel Drive,Automatic,175,4400,182.3,72.4,66.3,25,32,4, Gas,2.5,Blue,Black,397.7
75,2018 Kia Sportage LX,"$19,998*",49K miles,5,No Accidents or Damage Reported,0,2,16.4,105.1,41.5,39.3,30.7,3448,1650,All Wheel Drive,Automatic,175,4000,176.4,73.0,64.8,21,25,4, Gas,2.4,Red,Black,437.5
76,2020 Nissan Rogue SV,"$23,998*",55K miles,3,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,39.3,3615,1102,All Wheel Drive,Automatic,175,4400,184.5,72.4,68.5,25,32,4, Gas,2.5,Gray,Black,397.7
77,2020 Honda CR-V EX-L,"$31,998*",29K miles,3,No Accidents or Damage Reported,0,2,14.0,104.7,41.3,38.0,39.2,3536,1500,All Wheel Drive,Automatic,179,2000,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,White,Tan,895.0
79,2020 Kia Sorento LX,"$22,998*",45K miles,3,No Accidents or Damage Reported,0,0,18.8,109.4,44.1,39.5,11.3,3953,2000,All Wheel Drive,Automatic,178,4000,189.0,74.4,66.3,21,26,4, Gas,2.4,Blue,Black,445.0
80,2020 Honda CR-V LX,"$26,998*",42K miles,3,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,40.1,39.2,3455,1500,All Wheel Drive,Automatic,179,2000,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,Red,Gray,895.0
81,2017 Volvo XC90 T6 Momentum,"$23,998*",100K miles,6,No Accidents or Damage Reported,0,1,18.8,117.5,40.9,38.9,12.6,4394,5000,All Wheel Drive,Automatic,295,2200,194.9,79.1,69.9,20,25,4, Turbo Supercharged,2.0,Silver,Black,1340.9
82,2018 Buick Encore Preferred,"$19,998*",45K miles,5,No Accidents or Damage Reported,0,0,14.0,100.6,40.82,39.58,0.0,3237,0,Front Wheel Drive,Automatic,148,1850,168.41,69.85,65.26,25,33,4, Turbo Gas,1.4,Blue,Black,800.0
83,2014 Ford Escape SE,"$13,998*",128K miles,9,No Accidents or Damage Reported,0,1,15.1,105.9,43.1,39.9,34.3,3502,2000,Front Wheel Drive,Automatic,184,2500,178.1,72.4,66.3,23,32,4, Turbo Gas,1.6,Red,Gray,736.0
84,2019 Chevrolet Trax LT,"$16,998*",73K miles,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.8,39.6,0.0,3146,0,Front Wheel Drive,Automatic,148,1850,167.2,69.9,66.0,26,31,4, Turbo Gas,1.4,Gray,Black,800.0
86,2018 Kia Niro LX,"$19,998*",63K miles,5,No Accidents or Damage Reported,0,0,11.9,106.3,41.7,40.1,19.4,3199,0,Front Wheel Drive,Automatic,195,2400,171.5,71.1,60.4,51,46,4, Hybrid,1.6,White,Black,812.5
87,2018 Jeep Compass Latitude,"$21,998*",50K miles,5,No Accidents or Damage Reported,0,0,13.5,103.8,41.8,39.2,27.2,3327,1000,Four Wheel Drive,Automatic,175,3900,173.0,73.8,64.8,22,31,4, Gas,2.4,Black,Black,448.7
88,2016 Toyota Highlander LE,"$23,998*",94K miles,7,No Accidents or Damage Reported,0,2,19.2,109.8,44.2,40.7,13.8,4398,5000,All Wheel Drive,Automatic,248,4700,191.1,75.8,68.1,18,24,6, Gas,3.5,White,Gray,527.7
89,2018 Jeep Renegade Latitude,"$14,599*",101K miles,5,No Accidents or Damage Reported,0,0,12.7,101.2,41.2,41.1,18.5,3056,0,Front Wheel Drive,Manual 6 Speed,184,2500,166.6,74.2,66.5,24,31,4, Turbo Gas,1.4,Black,Black,736.0
90,2016 Jeep Patriot Sport SE,"$14,599*",105K miles,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,23.0,3210,1000,Front Wheel Drive,Automatic,141,5000,173.8,69.2,65.5,22,26,4, Gas,2.0,Black,Black,282.0
91,2019 BMW X3 XDrive30i,"$30,998*",33K miles,4,No Accidents or Damage Reported,0,0,17.2,112.8,40.3,41.1,28.7,4156,0,All Wheel Drive,Automatic,258,1450,185.9,74.4,66.0,22,29,4, Turbo Gas,2.0,Black,Black,1779.3
92,2012 Buick Enclave Leather,"$17,998*",67K miles,11,No Accidents or Damage Reported,0,0,22.0,118.9,41.3,40.4,23.3,4780,0,Front Wheel Drive,Automatic,270,3400,201.8,79.0,72.5,17,24,6, Gas,3.6,Brown,Tan,794.1
