Unnamed: 0,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
53,2021 Toyota Highlander Platinum,"$43,998*",38K miles,2 year(s),No Accidents or Damage Reported,Null,,17.9 gal,"112.2""","40.4""","38.4""",16 cu ft,"4,450 lbs","5,000/5,000 lbs",All Wheel Drive,Automatic,263,4700,"194.9"" L "," 76"" W "," 68.1"" H",20 city,27 hwy,6-cyl, Gas, 3.5L,Red,Brown,559.5744680851064
54,2018 Ford Escape SE,"$19,998*",54K miles,5 year(s),,Null,,15.7 gal,"105.9""","43.1""","39.9""",34.3 cu ft,"3,668 lbs","2,000/2,000 lbs",Four Wheel Drive,Automatic,177,2500,"178.1"" L "," 72.4"" W "," 66.3"" H",22 city,28 hwy,4-cyl, Turbo Gas, 1.5L,Gold,Tan,708.0
55,2019 Ford Escape Titanium,"$17,998*",111K miles,4 year(s),,Null,,15.7 gal,"105.9""","43.1""","39.9""",34 cu ft,"3,755 lbs","2,000/2,000 lbs",Four Wheel Drive,Automatic,275,3000,"178.1"" L "," 72.4"" W "," 66.3"" H",21 city,27 hwy,4-cyl, Turbo Gas, 2.0L,Silver,Black,916.6666666666666
56,2018 Volkswagen Atlas SE,"$28,998*",50K miles,5 year(s),,Null,1 Service Record(s) Reported,18.6 gal,"117.3""","41.5""","41.3""",20.6 cu ft,"4,502 lbs",Null,All Wheel Drive,Automatic,266,2750,"198.3"" L "," 78.3"" W "," 70"" H",17 city,23 hwy,6-cyl, Gas, 3.6L,White,Black,967.2727272727274
57,2016 Jeep Patriot High Altitude,"$16,998*",74K miles,7 year(s),No Accidents or Damage Reported,Null,,13.6 gal,"103.7""","40.6""","41""",23 cu ft,"3,210 lbs","1,000/1,000 lbs",Front Wheel Drive,Automatic,141,5000,"173.8"" L "," 69.2"" W "," 65.5"" H",22 city,26 hwy,4-cyl, Gas, 2.0L,Gray,Black,282.0
58,2020 Audi Q5 Titanium Premium,"$28,998*",72K miles,3 year(s),,Null,,18.5 gal,"111""","41""","40.2""",25.1 cu ft,"4,034 lbs","4,400/4,400 lbs",All Wheel Drive,Automatic,273,1600,"183.6"" L "," 74.5"" W "," 65.3"" H",22 city,28 hwy,4-cyl, Turbo Gas, 2.0L,Gray,Black,1706.25
59,2019 Toyota Highlander LE,"$25,998*",71K miles,4 year(s),No Accidents or Damage Reported,Null,,19.2 gal,"109.8""","44.2""","40.7""",13.8 cu ft,"4,244 lbs","5,000/5,000 lbs",Front Wheel Drive,Automatic,263,4700,"192.5"" L "," 75.8"" W "," 68.1"" H",20 city,27 hwy,6-cyl, Gas, 3.5L,White,Gray,559.5744680851064
60,2018 Toyota Highlander Hybrid XLE,"$35,998*",54K miles,5 year(s),No Accidents or Damage Reported,Null,1 Service Record(s) Reported,17.2 gal,"109.8""","44.2""","39.5""",13.8 cu ft,"4,464 lbs","3,500/3,500 lbs",All Wheel Drive,Automatic,215,4800,"192.5"" L "," 75.8"" W "," 68.1"" H",29 city,27 hwy,6-cyl, Hybrid, 3.5L,Gray,Black,447.9166666666667
61,2019 Chevrolet Trax LS,"$18,998*",45K miles,4 year(s),No Accidents or Damage Reported,Null,,14 gal,"100.6""","40.8""","39.6""",Null,"3,124 lbs",Null,Front Wheel Drive,Automatic,148,1850,"167.2"" L "," 69.9"" W "," 64.9"" H",26 city,31 hwy,4-cyl, Turbo Gas, 1.4L,Black,Black,800.0
62,2014 GMC Acadia SLT,"$19,998*",84K miles,9 year(s),No Accidents or Damage Reported,Null,,22.0 gal,"118.90""","41.30""","40.30""",24.1 cu ft,"4,850 lbs",Null,All Wheel Drive,Automatic,270,3400,"200.8"" L "," 78.9"" W "," 70.40"" H",16 city,23 hwy,6-cyl, Gas, 3.6L,Gray,Black,794.1176470588235
