,ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
93,3,No Accidents or Damage Reported,0,0,2020 Jeep Gladiator Overland,36998,50,22.0,137.3,41.2,42.8,0,4720,"4,000/4,000 lbs",Null,Automatic,260,4400,218.0,73.8,75.0,16,23,6, Gas,3.6,Tan,Brown,590.9
94,4,No Accidents or Damage Reported,0,1,2019 Ford Ranger XL,25998,75,18.0,126.8,43.1,41.0,0,4441,"3,500/3,500 lbs",Four Wheel Drive,Automatic,310,3000,210.8,85.8,71.5,20,24,4, Turbo Gas,2.3,White,Black,1033.3
95,3,No Accidents or Damage Reported,0,0,2020 GMC Sierra 1500 SLT,45998,47,24.0,156.98,44.53,43.03,0,4887,"12,000/12,000 lbs",Four Wheel Drive,Automatic,383,4100,241.25,81.24,75.4,16,22,8, Gas,5.3,Black,Black,934.1
96,4,No Accidents or Damage Reported,0,0,2019 Ram 1500 Classic Warlock,29998,55,26.0,140.0,41.0,41.0,0,5141,"4,430/4,430 lbs",Four Wheel Drive,Automatic,269,4175,229.0,79.4,77.7,16,23,6, Gas,3.6,Blue,Black,644.3
97,3,No Accidents or Damage Reported,0,1,2020 Jeep Gladiator Sport S,33998,28,22.0,137.3,41.2,42.8,0,4650,"4,000/4,000 lbs",Null,Automatic,260,4400,218.0,73.8,75.0,16,23,6, Gas,3.6,Gray,Black,590.9
98,2,No Accidents or Damage Reported,0,5,2021 Ford F150 XLT,39998,28,26.0,145.0,43.9,40.8,0,4705,"8,200/8,200 lbs",Four Wheel Drive,Automatic,440,1750,231.7,79.9,77.2,20,27,6, Turbo Diesel,3.0,White,Black,2514.3
99,3,No Accidents or Damage Reported,0,0,2020 Toyota Tacoma Limited,37998,55,21.1,127.4,42.9,39.7,0,4480,"6,400/6,400 lbs",Four Wheel Drive,Automatic,265,4600,212.3,75.2,70.6,18,22,6, Gas,3.5,Gray,Black,576.1
100,2,No Accidents or Damage Reported,0,0,2021 Toyota Tundra SR5,44998,32,26.4,145.7,42.5,39.7,0,5640,"9,800/9,800 lbs",Four Wheel Drive,Automatic,401,3600,228.9,79.9,76.2,13,17,8, Gas,5.7,Gray,Black,1113.9
101,3,No Accidents or Damage Reported,0,0,2020 Chevrolet Silverado 1500 Custom,28998,49,24.0,156.95,44.53,43.03,0,4674,"9,600/9,600 lbs",Rear Wheel Drive,Automatic,305,3900,241.21,81.24,75.35,16,21,6, Gas,4.3,Blue,Black,782.1
102,2,No Accidents or Damage Reported,0,1,2021 Ram 1500 Bighorn,40998,21,26.0,144.5,40.9,40.9,0,5082,"6,280/6,280 lbs",Four Wheel Drive,Automatic,410,3950,232.9,82.1,77.6,15,21,8, Gas,5.7,Black,Gray,1038.0
103,4,No Accidents or Damage Reported,0,0,2019 Ram 1500 Bighorn,32998,43,26.0,144.5,40.9,40.9,0,5232,"6,280/6,280 lbs",Four Wheel Drive,Automatic,410,3950,232.9,82.1,77.6,15,21,8, Gas,5.7,Black,Gray,1038.0
104,6,No Accidents or Damage Reported,0,0,2017 Honda Ridgeline RTL,22998,122,19.5,125.2,40.9,40.1,0,4445,"5,000/5,000 lbs",All Wheel Drive,Automatic,262,4700,210.0,78.6,70.8,18,25,6, Gas,3.5,Burgundy,Gray,557.4
105,2,No Accidents or Damage Reported,0,0,2021 Chevrolet Silverado 1500 Custom,34998,51,24.0,147.45,44.53,43.03,0,4815,"9,500/9,500 lbs",Four Wheel Drive,Automatic,305,3900,231.7,81.24,75.63,15,20,6, Gas,4.3,Black,Black,782.1
106,4,No Accidents or Damage Reported,0,3,2019 Ram 1500 Laramie,38998,54,26.0,153.5,40.9,40.9,0,5160,"6,320/6,320 lbs",Four Wheel Drive,Automatic,410,3950,241.8,82.1,77.5,15,21,8, Gas,5.7,White,Black,1038.0
107,3,No Accidents or Damage Reported,0,0,2020 Nissan Titan PRO-4X,39998,39,26.0,139.8,41.8,41.0,0,5824,"9,210/9,210 lbs",Four Wheel Drive,Automatic,413,4000,228.5,80.7,77.2,15,21,8, Gas,5.6,Tan,Black,1032.5
108,1,No Accidents or Damage Reported,0,0,2022 Hyundai Santa Cruz SEL Premium,31998,12,17.7,118.3,41.4,40.7,0,4101,"5,000/5,000 lbs",All Wheel Drive,Automatic,311,1700,195.7,75.0,66.7,19,27,4, Turbo Gas,2.5,White,Black,1829.4
109,2,No Accidents or Damage Reported,0,1,2021 Toyota Tundra Platinum,54998,10,38.0,145.7,42.5,39.7,0,5670,"8,800/8,800 lbs",Four Wheel Drive,Automatic,401,3600,228.9,79.9,76.2,13,17,8, Gas,5.7,Gray,Black,1113.9
110,5,No Accidents or Damage Reported,0,0,2018 Toyota Tundra SR5,35998,57,26.4,145.7,42.5,39.7,0,5340,"10,100/10,100 lbs",Rear Wheel Drive,Automatic,401,3600,228.9,79.9,75.8,13,18,8, Gas,5.7,Gray,Gray,1113.9
111,2,No Accidents or Damage Reported,0,0,2021 Toyota Tacoma TRD Off Road,40998,28,21.1,140.6,42.9,39.7,0,4550,"6,400/6,400 lbs",Four Wheel Drive,Automatic,265,4600,225.5,75.2,70.6,18,22,6, Gas,3.5,Gray,Black,576.1
112,4,No Accidents or Damage Reported,0,0,2019 Ford F150 XL,33998,22,23.0,145.0,43.9,40.8,0,4675,"5,000/5,000 lbs",Four Wheel Drive,Automatic,400,2750,231.9,79.9,77.2,19,24,6, Turbo Gas,2.7,Burgundy,Gray,1454.5
113,3,No Accidents or Damage Reported,0,0,2020 Ram 1500 Lonestar,35998,10,26.0,144.5,40.9,40.9,0,4878,"6,550/6,550 lbs",Rear Wheel Drive,Automatic,410,3950,232.9,82.1,77.5,15,22,8, Gas,5.7,Burgundy,Gray,1038.0
114,3,No Accidents or Damage Reported,0,0,2020 Ford F150 XLT,37998,15,23.0,145.0,43.9,40.8,0,4675,"5,000/5,000 lbs",Four Wheel Drive,Automatic,400,2750,231.9,79.9,77.2,19,24,6, Turbo Gas,2.7,Gray,Black,1454.5
115,10,No Accidents or Damage Reported,0,0,2013 Honda Ridgeline RTL,20998,115,22.0,122.0,40.8,38.7,0,4564,Null,Four Wheel Drive,Automatic,247,4300,206.9,77.8,71.2,15,21,6, Gas,3.5,Black,Black,574.4
116,2,No Accidents or Damage Reported,0,0,2021 Chevrolet Silverado 1500 Custom,35998,19,24.0,147.43,44.53,43.03,0,4602,"9,700/9,700 lbs",Rear Wheel Drive,Automatic,305,3900,231.7,81.24,75.49,16,21,6, Gas,4.3,Blue,Black,782.1
