Name,Price,Mile,Ages,Accident_damages,Insurance,Service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,curb_weight,transmission,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque,type
2020 Chevrolet Suburban 1500 Premier,44998,85,3,No Accidents or Damage Reported,0,0,31.0,130.0,45.3,42.8,5653,Automatic,224.4,80.5,74.4,14,21,8, Gas,5.3,Silver,Black,934.1,suv
2020 Acura MDX SH-AWD,31998,55,3,No Accidents or Damage Reported,0,1,19.5,111.0,41.4,38.1,4239,Automatic,196.2,77.7,67.4,19,26,6, Gas,3.5,Gray,Black,568.1,suv
2023 Nissan Kicks S,23998,17,0,No Accidents or Damage Reported,0,1,10.8,103.1,43.7,40.4,2682,Automatic,169.1,69.3,63.3,31,36,4, Gas,1.6,Gray,Black,285.0,suv
2023 Kia Sportage X-Line,32998,27,0,No Accidents or Damage Reported,0,0,14.3,108.5,41.4,39.6,3543,Automatic,183.5,73.4,66.9,23,28,4, Gas,2.5,Black,Gray,445.0,suv
2017 Mercedes-Benz GLA250,22998,72,6,No Accidents or Damage Reported,0,0,14.8,106.3,41.9,38.3,3296,Automatic,173.9,71.0,60.0,24,33,4, Turbo Gas,2.0,Gray,Black,2064.0,suv
2023 Toyota Sequoia Limited,73998,17,0,No Accidents or Damage Reported,0,0,22.5,122.0,41.2,39.2,5855,Automatic,208.1,79.6,74.2,21,24,6, Turbo Hybrid,3.5,Red,Gray,2429.2,suv
2018 Toyota Highlander Hybrid XLE,35998,54,5,No Accidents or Damage Reported,0,1,17.2,109.8,44.2,39.5,4464,Automatic,192.5,75.8,68.1,29,27,6, Hybrid,3.5,Gray,Black,447.9,suv
2021 Toyota 4Runner TRD Off Road Premium,42998,39,2,No Accidents or Damage Reported,0,0,23.0,109.8,41.7,39.3,4750,Automatic,191.3,75.8,71.5,16,19,6, Gas,4.0,Blue,Black,631.8,suv
2019 Chevrolet Trax LS,18998,45,4,No Accidents or Damage Reported,0,0,14.0,100.6,40.8,39.6,3124,Automatic,167.2,69.9,64.9,26,31,4, Turbo Gas,1.4,Black,Black,800.0,suv
2021 Volkswagen Atlas SEL,37998,34,2,No Accidents or Damage Reported,0,0,18.6,117.3,41.5,41.3,4502,Automatic,198.3,78.3,70.0,16,22,6, Gas,3.6,White,Gray,967.3,suv
2018 Mercedes-Benz GLC300,29998,54,5,No Accidents or Damage Reported,0,0,17.4,113.1,40.8,41.9,4001,Automatic,183.3,74.4,64.5,21,28,4, Turbo Gas,2.0,White,Black,2100.0,suv
2021 Kia Sorento SX,34998,44,2,No Accidents or Damage Reported,0,0,17.7,110.8,41.4,40.3,4120,Automatic,188.9,74.8,66.7,21,28,4, Turbo Gas,2.5,Black,Black,1829.4,suv
2019 GMC Yukon XL 1500 Denali,51998,39,4,No Accidents or Damage Reported,0,0,31.0,130.0,45.3,42.8,5655,Automatic,224.4,80.5,74.4,14,23,8, Gas,6.2,Red,Black,1122.0,suv
2014 Kia Soul +,14998,86,9,No Accidents or Damage Reported,0,0,14.2,101.2,40.9,39.6,2879,Automatic,163.0,70.9,63.0,23,31,4, Gas,2.0,Red,Black,377.5,suv
2021 Kia Telluride EX,31998,78,2,No Accidents or Damage Reported,0,0,18.8,114.2,41.4,39.5,4255,Automatic,196.9,78.3,68.9,19,24,6, Gas,3.8,Gray,Black,503.8,suv
2022 Toyota Highlander XLE,41998,11,1,No Accidents or Damage Reported,0,0,17.9,112.2,42.0,39.6,4195,Automatic,194.9,76.0,68.1,21,29,6, Gas,3.5,Black,Black,559.6,suv
2017 Ford Explorer XLT,22998,83,6,No Accidents or Damage Reported,0,5,18.6,112.8,42.9,41.4,4443,Automatic,198.3,78.9,70.0,17,24,6, Gas,3.5,White,Black,637.5,suv
2018 Subaru Crosstrek Premium,20998,94,5,No Accidents or Damage Reported,0,0,16.6,104.9,43.1,39.8,3186,Automatic,175.8,71.0,63.6,27,33,4, Gas,2.0,Black,Black,362.5,suv
2015 Mercedes-Benz ML350,21998,74,8,No Accidents or Damage Reported,0,0,24.6,114.8,40.3,40.4,4751,Automatic,189.1,75.8,70.7,17,22,6, Gas,3.5,Gray,Black,780.0,suv
2016 Kia Soul,14599,62,7,No Accidents or Damage Reported,0,1,14.2,101.2,40.9,39.6,2784,Automatic,163.0,70.9,63.0,24,30,4, Gas,1.6,Gray,Black,243.3,suv
2020 Toyota 4Runner SR5 Premium,40998,16,3,No Accidents or Damage Reported,0,2,23.0,109.8,41.7,39.3,4675,Automatic,190.2,75.8,71.5,16,19,6, Gas,4.0,Silver,Black,631.8,suv
2018 Volkswagen Tiguan S,20998,56,5,No Accidents or Damage Reported,0,0,15.3,109.8,40.2,39.6,3777,Automatic,185.1,72.4,66.3,22,27,4, Turbo Gas,2.0,White,Gray,1381.2,suv
2019 Toyota Highlander Hybrid Limited Platinum,39998,47,4,No Accidents or Damage Reported,0,0,17.2,109.8,44.2,39.8,4861,Automatic,192.5,75.8,68.1,29,27,6, Hybrid,3.5,Silver,Black,447.9,suv
2017 Kia Sorento LX,19998,68,6,No Accidents or Damage Reported,0,0,18.8,109.4,44.1,39.5,4101,Automatic,187.4,74.4,66.3,18,25,6, Gas,3.3,Black,Black,475.5,suv
2020 Ford Explorer XLT,32998,35,3,No Accidents or Damage Reported,0,0,19.2,119.1,43.0,40.7,4345,Automatic,198.8,78.9,69.9,20,27,4, Turbo Gas,2.3,Blue,Black,885.7,suv
2017 Chevrolet Traverse LT,19998,58,6,No Accidents or Damage Reported,0,5,22.0,118.9,41.3,40.4,4713,Automatic,203.7,78.5,69.9,15,22,6, Gas,3.6,Silver,Black,782.4,suv
2021 Mazda CX-5 Sport,26998,10,2,No Accidents or Damage Reported,0,3,14.8,106.2,41.0,39.7,3552,Automatic,179.1,72.5,65.4,25,31,4, Gas,2.5,Blue,Black,465.0,suv
2019 Hyundai Santa Fe Limited,25998,42,4,No Accidents or Damage Reported,0,0,18.8,108.9,44.1,41.2,4063,Automatic,187.8,74.4,67.1,19,24,4, Turbo Gas,2.0,Gray,Tan,1793.1,suv
2018 Toyota Highlander XLE,24998,105,5,No Accidents or Damage Reported,0,3,19.2,109.8,44.2,39.5,4430,Automatic,192.5,75.8,68.1,21,27,6, Gas,3.5,White,Black,559.6,suv
2015 Nissan Rogue SV,20998,27,8,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,3545,Automatic,182.3,72.4,66.3,25,32,4, Gas,2.5,Blue,Black,397.7,suv
2021 Honda Pilot Special Edition,38998,12,2,No Accidents or Damage Reported,0,0,19.5,111.0,40.9,39.5,4255,Automatic,196.5,78.6,70.6,19,26,6, Gas,3.5,Gray,Black,557.4,suv
2019 Toyota RAV4 LE,27998,36,4,No Accidents or Damage Reported,0,0,14.5,105.9,41.0,39.5,3370,Automatic,180.9,73.0,67.0,26,35,4, Gas,2.5,Gray,Black,368.0,suv
2019 Subaru Forester 2.5I Touring,27998,55,4,No Accidents or Damage Reported,0,7,16.6,105.1,43.3,40.2,3588,Automatic,182.1,71.5,68.1,26,33,4, Gas,2.5,Red,Black,400.0,suv
2020 Ford Explorer ST,46998,23,3,No Accidents or Damage Reported,0,0,21.8,119.1,43.0,40.7,4701,Automatic,198.8,78.9,70.2,18,24,6, Turbo Gas,3.0,Red,Black,1185.7,suv
2021 Toyota Venza Hybrid XLE,32998,45,2,No Accidents or Damage Reported,0,0,14.5,105.9,40.9,38.6,3891,Automatic,186.6,73.0,65.9,40,37,4, Hybrid,2.5,Red,Black,452.8,suv
2018 Nissan Armada SV,24998,89,5,No Accidents or Damage Reported,0,7,26.0,121.1,41.9,40.9,5576,Automatic,208.9,79.9,75.8,14,19,8, Gas,5.6,Black,Black,985.0,suv
2022 Toyota Highlander Platinum,45998,32,1,No Accidents or Damage Reported,0,9,17.9,112.2,42.0,38.4,4450,Automatic,194.9,76.0,68.1,20,27,6, Gas,3.5,Gray,Black,559.6,suv
2017 Toyota Highlander Limited,24998,114,6,No Accidents or Damage Reported,0,0,19.2,109.8,44.2,39.5,4655,Automatic,192.5,75.8,68.1,20,26,6, Gas,3.5,White,Black,559.6,suv
2022 Toyota Highlander Limited,42998,28,1,No Accidents or Damage Reported,0,0,17.9,112.2,42.0,39.6,4450,Automatic,194.9,76.0,68.1,20,27,6, Gas,3.5,Black,Black,559.6,suv
2023 Toyota Highlander XLE,42998,8,0,No Accidents or Damage Reported,0,0,17.9,112.2,42.0,38.4,4195,Automatic,194.9,76.0,68.1,22,29,4, Turbo Gas,2.4,Green,Black,1823.5,suv
2016 Honda Pilot EX-L,24998,80,7,No Accidents or Damage Reported,0,1,19.5,111.0,40.9,39.5,4288,Automatic,194.5,78.6,69.8,18,26,6, Gas,3.5,Blue,Gray,557.4,suv
2017 Ford Escape S,18998,48,6,No Accidents or Damage Reported,0,0,15.7,105.9,43.1,39.9,3515,Automatic,178.1,72.4,66.3,21,29,4, Gas,2.5,Orange,Gray,377.8,suv
2018 Kia Sportage LX,19998,49,5,No Accidents or Damage Reported,0,2,16.4,105.1,41.5,39.3,3448,Automatic,176.4,73.0,64.8,21,25,4, Gas,2.4,Red,Black,437.5,suv
2020 Nissan Rogue SV,23998,55,3,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,3615,Automatic,184.5,72.4,68.5,25,32,4, Gas,2.5,Gray,Black,397.7,suv
2020 Honda CR-V EX-L,31998,29,3,No Accidents or Damage Reported,0,2,14.0,104.7,41.3,38.0,3536,Automatic,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,White,Tan,895.0,suv
2019 Nissan Armada Platinum,35998,48,4,No Accidents or Damage Reported,0,0,26.0,121.1,41.9,39.8,5716,Automatic,208.9,79.9,75.8,14,19,8, Gas,5.6,Black,Tan,985.0,suv
2018 Subaru Outback 2.5I Premium,24998,54,5,No Accidents or Damage Reported,0,9,18.5,108.1,42.9,40.8,3642,Automatic,189.6,72.4,66.1,25,32,4, Gas,2.5,Gray,Black,435.0,suv
2019 Subaru Ascent Premium,31998,32,4,No Accidents or Damage Reported,0,0,19.3,113.8,42.2,41.3,4477,Automatic,196.8,76.0,71.6,21,27,4, Turbo Gas,2.4,Blue,Black,1385.0,suv
2017 Jeep Wrangler Willys Wheeler,26998,64,6,No Accidents or Damage Reported,0,0,18.6,95.4,41.0,41.3,3879,Automatic,164.3,73.7,72.5,17,21,6, Gas,3.6,Black,Black,541.7,suv
2017 Jeep Wrangler Unlimited Sahara,26998,77,6,Multiple Damage Events,0,3,22.5,116.0,41.0,41.3,4397,Automatic,184.9,73.7,72.6,16,21,6, Gas,3.6,Black,Black,541.7,suv
2020 Honda CR-V LX,26998,42,3,No Accidents or Damage Reported,0,0,14.0,104.7,41.3,40.1,3455,Automatic,182.1,73.0,66.5,27,32,4, Turbo Gas,1.5,Red,Gray,895.0,suv
2020 Ford Explorer XLT,27998,51,3,No Accidents or Damage Reported,0,0,19.2,119.1,43.0,40.7,4345,Automatic,198.8,78.9,69.9,21,28,4, Turbo Gas,2.3,Silver,Black,885.7,suv
2019 Ford Explorer XLT,26998,53,4,No Accidents or Damage Reported,0,0,18.6,112.8,42.9,41.4,4443,Automatic,198.3,78.9,70.0,17,24,6, Gas,3.5,Blue,Black,637.5,suv
2017 Honda Pilot EX-L,27998,45,6,No Accidents or Damage Reported,0,0,19.5,111.0,40.9,39.5,4123,Automatic,194.5,78.6,69.8,19,27,6, Gas,3.5,Green,Tan,557.4,suv
2016 Toyota 4Runner SR5 Premium,28998,85,7,No Accidents or Damage Reported,0,14,23.0,109.8,41.7,38.6,4400,Automatic,190.2,75.8,71.5,17,22,6, Gas,4.0,Silver,Black,631.8,suv
2018 Buick Encore Preferred,19998,45,5,No Accidents or Damage Reported,0,0,14.0,100.6,40.82,39.58,3237,Automatic,168.41,69.85,65.26,25,33,4, Turbo Gas,1.4,Blue,Black,800.0,suv
2019 Jeep Grand Cherokee Limited,29998,29,4,No Accidents or Damage Reported,0,0,24.6,114.8,40.3,39.9,4746,Automatic,189.8,76.5,69.3,18,25,6, Gas,3.6,Silver,Black,650.0,suv
2014 Ford Escape SE,13998,128,9,No Accidents or Damage Reported,0,1,15.1,105.9,43.1,39.9,3502,Automatic,178.1,72.4,66.3,23,32,4, Turbo Gas,1.6,Red,Gray,736.0,suv
2015 Chevrolet Camaro LS,20998,55,8,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,3719,Automatic,190.6,75.5,54.2,17,28,6, Gas,3.6,Black,Black,579.2,sportscar
2020 BMW Z4 sDrive30i,45998,18,3,No Accidents or Damage Reported,0,0,13.7,97.2,42.2,38.9,3287,Automatic,170.7,73.4,51.4,24,32,4, Turbo Gas,2.0,White,Brown,1903.2,sportscar
2013 Chevrolet Camaro SS,25998,68,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,3860,Automatic,190.4,75.5,54.2,16,24,8, Gas,6.2,Red,Black,913.0,sportscar
2014 Dodge Challenger SXT Plus,24998,24,9,No Accidents or Damage Reported,0,0,19.5,116.0,42.0,39.3,3834,Automatic,197.7,75.7,57.1,18,27,6, Gas,3.6,Black,Brown,558.3,sportscar
2017 Chevrolet Corvette Stingray,45998,16,6,No Accidents or Damage Reported,0,6,18.5,106.7,43.0,37.9,3298,Manual 7 Speed,176.9,73.9,48.8,16,25,8, Gas,6.2,Black,Red,1000.0,sportscar
2020 Ford Mustang Ecoboost Premium,24998,58,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,3642,Automatic,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Silver,Black,1166.7,sportscar
2018 Dodge Challenger SXT Plus,27998,31,5,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,3894,Automatic,197.9,75.7,57.5,19,30,6, Gas,3.6,White,Black,558.3,sportscar
2021 Mazda MX-5 Miata RF Grand Touring,29998,6,2,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,36.8,2452,Manual 6 Speed,154.1,68.3,49.0,26,34,4, Gas,2.0,Gray,Black,377.5,sportscar
2020 Dodge Challenger R/T Scat Pack Widebody,52998,12,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,4308,Automatic,197.9,79.2,57.5,14,23,8, Gas,6.4,Blue,Black,1158.5,sportscar
2018 BMW M4,53998,21,5,No Accidents or Damage Reported,0,3,15.9,110.7,42.2,39.8,3530,Automatic,184.5,73.6,54.4,17,25,6, Turbo Gas,3.0,Silver,Black,2194.6,sportscar
2020 Ford Mustang GT Premium,36998,35,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,3825,Automatic,188.3,75.4,54.9,15,24,8, Gas,5.0,Red,Red,913.0,sportscar
2014 Mercedes-Benz SLK350,30998,28,9,No Accidents or Damage Reported,0,0,18.5,95.7,42.5,39.1,3417,Automatic,162.8,71.5,51.2,21,29,6, Gas,3.5,Gray,Red,780.0,sportscar
2019 Fiat 124 Spider Classica,23998,13,4,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,2436,Manual 5 Speed,159.6,68.5,48.5,26,35,4, Turbo Gas,1.4,White,Black,575.0,sportscar
2019 Acura TLX,28998,26,4,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,3765,Automatic,191.5,73.0,57.0,20,29,6, Gas,3.5,Gray,Black,593.3,sportscar
2019 Toyota 86,22998,96,4,No Accidents or Damage Reported,0,0,13.2,101.2,41.9,37.1,2776,Manual 6 Speed,166.7,69.9,50.6,21,28,4, Gas,2.0,Black,Black,243.8,sportscar
2018 Genesis G80,29998,17,5,No Accidents or Damage Reported,0,0,20.3,118.5,45.7,41.1,4350,Automatic,196.5,74.4,58.3,18,25,6, Gas,3.8,Silver,Black,586.0,sportscar
2015 Chevrolet Camaro SS,26998,75,8,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,3908,Manual 6 Speed,190.6,75.5,54.2,16,24,8, Gas,6.2,Black,Gray,913.0,sportscar
2018 Ford Mustang Ecoboost Premium,24998,32,5,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,3532,Automatic,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Red,Black,1166.7,sportscar
2018 Dodge Challenger R/T,30998,28,5,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,4190,Manual 6 Speed,197.9,75.7,57.5,15,23,8, Gas,5.7,Silver,Black,953.5,sportscar
2015 Dodge Dart SXT,15998,88,8,No Accidents or Damage Reported,0,9,14.2,106.4,42.2,38.6,3165,Automatic,183.9,72.0,57.7,22,35,4, Gas,2.4,Orange,Black,362.5,sportscar
2014 Porsche Panamera 4,35998,54,9,No Accidents or Damage Reported,0,0,21.1,115.0,41.9,38.0,4012,Automatic,197.4,76.0,55.8,18,27,6, Gas,3.6,Silver,Brown,786.7,sportscar
2015 Volkswagen GTI SE,20998,62,8,No Accidents or Damage Reported,0,1,13.2,103.6,41.2,38.4,2972,Manual 6 Speed,168.0,70.5,56.8,25,34,4, Turbo Gas,2.0,Gray,Black,1720.0,sportscar
2018 Acura TLX SH-AWD A-Spec,29998,44,5,No Accidents or Damage Reported,0,2,17.2,109.3,42.6,37.2,3765,Automatic,191.5,73.0,57.0,20,29,6, Gas,3.5,Black,Tan,593.3,sportscar
2015 Acura TLX,18998,93,8,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,3492,Automatic,190.3,73.0,57.0,24,35,4, Gas,2.4,Black,Maroon,404.4,sportscar
2020 Dodge Challenger R/T Scat Pack,43998,12,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,4230,Manual 6 Speed,197.9,75.7,57.5,14,23,8, Gas,6.4,Purple,Black,1158.5,sportscar
2020 Dodge Challenger SXT,26998,33,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,4057,Automatic,197.9,75.7,57.5,18,27,6, Gas,3.6,Burgundy,Black,558.3,sportscar
2013 BMW M3,35998,45,10,No Accidents or Damage Reported,0,8,16.6,108.7,41.8,38.0,4145,Automatic,181.7,71.0,54.8,13,20,8, Gas,4.0,Red,Black,756.4,sportscar
2020 Ford Mustang Shelby GT350,65998,9,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,3760,Manual 6 Speed,188.9,75.9,54.2,14,21,8, Gas,5.2,Blue,Black,903.2,sportscar
2018 Ford Mustang Ecoboost Premium,22998,85,5,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,3532,Automatic,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Gray,Black,1166.7,sportscar
2018 Genesis G80,30998,21,5,No Accidents or Damage Reported,0,0,20.3,118.5,45.7,41.1,4195,Automatic,196.5,74.4,58.3,19,27,6, Gas,3.8,Black,Black,586.0,sportscar
2014 Hyundai Genesis,21998,28,9,No Accidents or Damage Reported,0,0,17.2,111.0,44.1,39.2,3495,Automatic,182.3,73.4,54.5,17,27,4, Turbo Gas,2.0,Black,Black,1375.0,sportscar
2016 Acura TLX,21998,55,7,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,3620,Automatic,190.3,73.0,57.0,21,34,6, Gas,3.5,Gray,Gray,593.3,sportscar
2015 BMW M4,35998,74,8,No Accidents or Damage Reported,0,10,15.9,110.7,42.2,40.4,4055,Automatic,184.5,73.6,54.6,17,26,6, Turbo Gas,3.0,Silver,Gray,2194.6,sportscar
2014 Ford Mustang Shelby GT500,55998,25,9,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,3845,Manual 6 Speed,189.4,73.9,55.4,15,24,8, Supercharged Gas,5.8,White,Black,1577.5,sportscar
2015 Acura TLX,16998,123,8,No Accidents or Damage Reported,0,3,17.2,109.3,42.6,37.2,3620,Automatic,190.3,73.0,57.0,21,34,6, Gas,3.5,Gray,Black,593.3,sportscar
2019 Mazda MX-5 Miata RF Grand Touring,28998,9,4,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,36.8,2493,Automatic,154.1,68.3,49.0,26,35,4, Gas,2.0,Red,Black,377.5,sportscar
2017 Ford Mustang Ecoboost,20998,102,6,Multiple Damage Events,0,0,15.5,107.1,44.5,37.6,3532,Automatic,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Black,Black,1280.0,sportscar
2014 Chevrolet Camaro LS,21998,12,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,3719,Automatic,190.6,75.5,54.2,17,28,6, Gas,3.6,Burgundy,Black,579.2,sportscar
2013 Mazda MX-5 Miata Club,18998,66,10,No Accidents or Damage Reported,0,0,12.7,91.7,43.1,37.0,2542,Automatic,157.3,67.7,49.4,21,28,4, Gas,2.0,Red,Black,280.0,sportscar
2018 Ford Mustang Ecoboost,22998,64,5,No Accidents or Damage Reported,0,7,15.5,107.1,44.5,37.6,3532,Automatic,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Gray,Black,1166.7,sportscar
2020 Ford Mustang Ecoboost Premium,26998,38,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,3532,Automatic,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Silver,Black,1166.7,sportscar
2015 Chevrolet Camaro LT,19998,63,8,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.8,4015,Automatic,190.6,75.5,54.7,17,28,6, Gas,3.6,Silver,Black,579.2,sportscar
2020 Acura TLX,26998,26,3,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,3505,Automatic,190.7,73.0,57.0,23,33,4, Gas,2.4,Black,Black,404.4,sportscar
2014 Chevrolet Corvette Stingray,38998,78,9,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,3298,Automatic,176.9,73.9,48.8,17,29,8, Gas,6.2,Burgundy,Brown,1000.0,sportscar
2016 Jaguar F-Type,34998,55,7,No Accidents or Damage Reported,0,4,18.5,103.2,43.0,37.0,3477,Automatic,176.0,75.7,51.6,19,28,6, Supercharged Gas,3.0,Black,Black,948.6,sportscar
2018 Audi S4 Premium Plus,35998,22,5,No Accidents or Damage Reported,0,0,15.3,111.2,41.3,38.9,3858,Automatic,186.8,72.5,55.3,21,30,6, Turbo Gas,3.0,Red,Gray,2693.4,sportscar
2021 Mazda MX-5 Miata Grand Touring,30998,4,2,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,2341,Manual 5 Speed,154.1,68.3,48.8,26,34,4, Gas,2.0,Gray,Black,377.5,sportscar
2019 Mazda MX-5 Miata Club,26998,10,4,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,2388,Automatic,154.1,68.3,48.8,26,35,4, Gas,2.0,Red,Black,377.5,sportscar
2018 Fiat 124 Spider Classica,21998,30,5,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,2436,Manual 6 Speed,159.6,68.5,48.5,26,35,4, Turbo Gas,1.4,Gray,Black,575.0,sportscar
2019 Ford Mustang Ecoboost Premium,25998,37,4,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,3642,Manual 6 Speed,188.3,75.4,54.9,20,28,4, Turbo Gas,2.3,Red,Black,1166.7,sportscar
2015 Chevrolet Corvette Stingray,43998,21,8,No Accidents or Damage Reported,0,1,18.5,106.7,43.0,37.9,3298,Automatic,176.9,73.9,48.8,17,29,8, Gas,6.2,Silver,Black,1000.0,sportscar
2018 Dodge Challenger T/A 392,42998,17,5,No Accidents or Damage Reported,0,4,18.5,116.2,42.0,39.3,4232,Automatic,197.9,75.7,57.5,14,23,8, Gas,6.4,Black,Black,1158.5,sportscar
2019 Audi S5 Premium Plus,35998,47,4,No Accidents or Damage Reported,0,0,15.3,108.8,41.3,39.0,3847,Automatic,184.7,72.7,53.9,21,30,6, Turbo Gas,3.0,Black,Black,2693.4,sportscar
2019 Volkswagen Jetta GLI Autobahn,26998,35,4,No Accidents or Damage Reported,0,0,13.2,105.6,41.1,38.5,3274,Automatic,185.2,70.8,56.8,25,32,4, Turbo Gas,2.0,Gray,Black,1517.6,sportscar
2014 Scion FR-S,19998,78,9,No Accidents or Damage Reported,0,1,13.2,101.2,41.9,37.1,2758,Manual 6 Speed,166.7,69.9,50.6,22,30,4, Gas,2.0,Red,Black,235.9,sportscar
2016 BMW M4,43998,46,7,No Accidents or Damage Reported,0,4,15.9,110.7,42.2,39.8,3530,Automatic,184.5,73.6,54.4,17,26,6, Turbo Gas,3.0,Gray,Gray,2194.6,sportscar
2020 Dodge Challenger R/T Scat Pack Widebody,49998,7,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,4308,Automatic,197.9,79.2,57.5,14,23,8, Gas,6.4,Red,Black,1158.5,sportscar
2018 BMW M550 I xDrive,41998,42,5,No Accidents or Damage Reported,0,6,18.0,117.1,41.4,38.8,4372,Automatic,195.4,73.5,57.8,16,25,8, Turbo Gas,4.4,Gray,Black,2666.7,sportscar
2020 Jaguar F-Type Checkered Flag,44998,24,3,No Accidents or Damage Reported,0,3,16.6,103.2,42.8,36.8,3360,Automatic,176.5,75.7,51.6,23,30,4, Turbo Gas,2.0,Gray,Black,1966.7,sportscar
2018 Fiat 124 Spider Lusso,21998,29,5,No Accidents or Damage Reported,0,3,11.9,90.9,43.1,37.4,2436,Automatic,159.6,68.5,48.5,26,35,4, Turbo Gas,1.4,Red,Black,575.0,sportscar
2014 Chevrolet Camaro LT,20998,70,9,No Accidents or Damage Reported,0,4,19.0,112.3,42.4,37.4,3738,Automatic,190.6,75.5,54.2,17,28,6, Gas,3.6,White,Black,579.2,sportscar
2014 Chevrolet Camaro LT,22998,46,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,3738,Automatic,190.6,75.5,54.2,17,28,6, Gas,3.6,Red,Black,579.2,sportscar
2020 Ford Mustang Shelby GT350,59998,28,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,3760,Manual 6 Speed,188.9,75.9,54.2,14,21,8, Gas,5.2,Gray,Gray,903.2,sportscar
2013 Chevrolet Camaro ZL1,47998,7,10,No Accidents or Damage Reported,0,4,19.0,112.3,42.4,37.4,4120,Automatic,190.4,75.5,54.2,14,19,8, Supercharged Gas,6.2,Black,Black,1323.8,sportscar
2016 Mazda MX-5 Miata Grand Touring,19998,82,7,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,37.4,2332,Manual 6 Speed,154.1,68.3,48.8,27,34,4, Gas,2.0,Red,Black,321.7,sportscar
2017 Mercedes-Benz SL450,50998,27,6,No Accidents or Damage Reported,0,0,19.8,101.7,42.9,39.1,3826,Automatic,182.3,73.9,51.2,20,28,6, Turbo Gas,3.0,Blue,Black,1845.0,sportscar
2021 Mazda MX-5 Miata RF Club,29998,15,2,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,36.8,2496,Automatic,154.1,68.3,49.0,26,35,4, Gas,2.0,Gray,Black,377.5,sportscar
2013 Chevrolet Camaro ZL1,42998,18,10,No Accidents or Damage Reported,0,2,19.0,112.3,42.4,37.4,4120,Manual 6 Speed,190.4,75.5,54.2,14,19,8, Supercharged Gas,6.2,Black,Black,1323.8,sportscar
2020 Dodge Challenger SXT,25998,47,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,3858,Automatic,197.9,75.7,57.5,19,30,6, Gas,3.6,Red,Black,558.3,sportscar
2018 Chevrolet Corvette Stingray,48998,48,5,No Accidents or Damage Reported,0,0,18.5,106.7,43.0,37.9,3298,Automatic,176.9,73.9,48.8,16,25,8, Gas,6.2,Blue,Black,1000.0,sportscar
2016 Jaguar F-Type S,37998,39,7,No Accidents or Damage Reported,0,2,18.5,103.2,43.0,37.0,3735,Automatic,176.0,75.7,51.5,18,26,6, Supercharged Gas,3.0,Gray,Black,968.6,sportscar
