Name,Price,Mile,Ages,Accident_damages,Insurance,Service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,curb_weight,transmission,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque,type
2016 Jeep Grand Cherokee 75TH Anniversary Edition,23998,94,7,No Accidents or Damage Reported,0,6,24.6,114.8,40.3,39.9,4677,Automatic,189.8,76.5,69.3,18,25,6, Gas,3.6,Gray,Black,650.0,suv
2018 Kia Sorento LX,20998,60,5,No Accidents or Damage Reported,0,6,18.8,109.4,44.1,39.5,3840,Automatic,187.4,74.4,66.3,21,25,4, Gas,2.4,Gray,Black,445.0,suv
2016 Volvo XC60 T5 Premier,16998,113,7,No Accidents or Damage Reported,0,0,18.5,109.2,41.2,38.0,4041,Automatic,182.8,74.4,67.4,23,31,4, Turbo Gas,2.0,White,Black,1720.0,suv
2018 Jeep Compass Latitude,19998,55,5,No Accidents or Damage Reported,0,0,13.5,103.8,41.8,39.2,3327,Automatic,173.0,73.8,64.8,22,31,4, Gas,2.4,Gray,Black,448.7,suv
2018 Kia Sportage EX,17998,82,5,No Accidents or Damage Reported,0,6,16.4,105.1,41.5,39.3,3305,Automatic,176.4,73.0,64.8,22,29,4, Gas,2.4,Blue,Black,437.5,suv
2016 Jeep Patriot High Altitude,15998,97,7,No Accidents or Damage Reported,0,0,13.6,103.7,40.6,41.0,3210,Automatic,173.8,69.2,65.5,22,26,4, Gas,2.0,White,Black,282.0,suv
2016 Dodge Journey Crossroad Plus,16998,98,7,No Accidents or Damage Reported,0,5,20.5,113.8,40.8,40.8,3907,Automatic,192.4,72.2,66.6,19,26,6, Gas,3.6,Black,Black,590.9,suv
2018 Infiniti QX60,25998,66,5,No Accidents or Damage Reported,0,9,19.5,114.2,42.2,40.7,4527,Automatic,200.1,77.2,68.6,19,26,6, Gas,3.5,White,Black,562.5,suv
2019 Cadillac XT5 Premium Luxury,34998,7,4,No Accidents or Damage Reported,0,3,19.4,112.5,41.2,38.4,4113,Automatic,189.5,75.0,66.0,19,26,6, Gas,3.6,Black,Black,542.0,suv
2019 Jeep Compass Sport,20998,40,4,No Accidents or Damage Reported,0,2,13.5,103.8,41.8,39.2,3184,Automatic,173.0,73.8,64.6,23,32,4, Gas,2.4,Blue,Black,448.7,suv
2020 Jeep Renegade Altitude,23998,13,3,No Accidents or Damage Reported,0,0,12.7,101.2,41.2,41.1,3056,Automatic,166.6,74.2,66.5,22,30,4, Gas,2.4,Black,Black,448.7,suv
2012 Jeep Grand Cherokee Overland,18998,103,11,No Accidents or Damage Reported,0,1,24.6,114.8,40.3,39.9,4910,Automatic,189.8,76.3,69.4,16,23,6, Gas,3.6,Black,Black,541.7,suv
2020 Jeep Cherokee Latitude,22998,49,3,No Accidents or Damage Reported,0,0,15.8,106.5,41.1,39.4,3590,Automatic,182.0,73.2,65.7,22,31,4, Gas,2.4,White,Black,371.7,suv
2018 BMW X1 XDrive28i,24998,60,5,No Accidents or Damage Reported,0,5,16.1,105.1,40.4,41.9,3697,Automatic,175.4,71.7,62.9,22,31,4, Turbo Gas,2.0,Blue,Black,1779.3,suv
2017 Jeep Grand Cherokee Limited,23998,83,6,No Accidents or Damage Reported,0,7,24.6,114.8,40.3,39.9,4875,Automatic,189.8,76.5,69.3,18,25,6, Gas,3.6,Blue,Black,650.0,suv
2016 Kia Sorento EX,18998,76,7,No Accidents or Damage Reported,0,1,18.8,109.4,44.1,39.5,4004,Automatic,187.4,74.4,66.3,19,25,4, Turbo Gas,2.0,White,Black,1793.1,suv
2014 Nissan Rogue S,14998,124,9,No Accidents or Damage Reported,0,0,14.5,106.5,43.0,41.6,3393,Automatic,182.3,72.4,66.3,26,33,4, Gas,2.5,Silver,Tan,397.7,suv
2016 Audi Q5 Premium Plus,22998,65,7,No Accidents or Damage Reported,0,1,19.8,110.5,41.0,39.4,4200,Automatic,182.6,74.7,65.2,20,28,4, Turbo Gas,2.0,Pearl,Tan,1720.0,suv
