,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
30,2015 Acura TLX,18998,93 ,8,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,0,3492,Null,Front Wheel Drive,Automatic,182,4500,190.3,73.0,57.0,24,35,4, Gas,2.4,Black,Maroon,404.4
31,2020 Dodge Challenger R/T Scat Pack,43998,12 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,4230,Null,Rear Wheel Drive,Manual 6 Speed,475,4100,197.9,75.7,57.5,14,23,8, Gas,6.4,Purple,Black,1158.5
32,2020 Dodge Challenger SXT,26998,33 ,3,No Accidents or Damage Reported,0,0,18.5,116.2,42.0,39.3,0,4057,Null,All Wheel Drive,Automatic,268,4800,197.9,75.7,57.5,18,27,6, Gas,3.6,Burgundy,Black,558.3
33,2013 BMW M3,35998,45 ,10,No Accidents or Damage Reported,0,8,16.6,108.7,41.8,38.0,0,4145,Null,Null,Automatic,295,3900,181.7,71.0,54.8,13,20,8, Gas,4.0,Red,Black,756.4
34,2020 Ford Mustang Shelby GT350,65998,9 ,3,No Accidents or Damage Reported,0,0,16.0,107.1,44.5,37.6,0,3760,Null,Rear Wheel Drive,Manual 6 Speed,429,4750,188.9,75.9,54.2,14,21,8, Gas,5.2,Blue,Black,903.2
35,2018 Ford Mustang Ecoboost Premium,22998,85 ,5,No Accidents or Damage Reported,0,0,15.5,107.1,44.5,37.6,0,3532,Null,Rear Wheel Drive,Automatic,350,3000,188.3,75.4,54.4,21,31,4, Turbo Gas,2.3,Gray,Black,1166.7
36,2018 Genesis G80,30998,21 ,5,No Accidents or Damage Reported,0,0,20.3,118.5,45.7,41.1,0,4195,Null,Rear Wheel Drive,Automatic,293,5000,196.5,74.4,58.3,19,27,6, Gas,3.8,Black,Black,586.0
37,2014 Hyundai Genesis,21998,28 ,9,No Accidents or Damage Reported,0,0,17.2,111.0,44.1,39.2,0,3495,Null,Rear Wheel Drive,Automatic,275,2000,182.3,73.4,54.5,17,27,4, Turbo Gas,2.0,Black,Black,1375.0
39,2016 Acura TLX,21998,55 ,7,No Accidents or Damage Reported,0,0,17.2,109.3,42.6,37.2,0,3620,Null,Front Wheel Drive,Automatic,267,4500,190.3,73.0,57.0,21,34,6, Gas,3.5,Gray,Gray,593.3
40,2015 BMW M4,35998,74 ,8,No Accidents or Damage Reported,0,10,15.9,110.7,42.2,40.4,0,4055,Null,Rear Wheel Drive,Automatic,406,1850,184.5,73.6,54.6,17,26,6, Turbo Gas,3.0,Silver,Gray,2194.6
41,2014 Ford Mustang Shelby GT500,55998,25 ,9,No Accidents or Damage Reported,0,0,16.0,107.1,42.4,38.5,0,3845,Null,Rear Wheel Drive,Manual 6 Speed,631,4000,189.4,73.9,55.4,15,24,8, Supercharged Gas,5.8,White,Black,1577.5
42,2015 Acura TLX,16998,123 ,8,No Accidents or Damage Reported,0,3,17.2,109.3,42.6,37.2,0,3620,Null,Front Wheel Drive,Automatic,267,4500,190.3,73.0,57.0,21,34,6, Gas,3.5,Gray,Black,593.3
43,2019 Mazda MX-5 Miata RF Grand Touring,28998,9 ,4,No Accidents or Damage Reported,0,0,11.9,90.9,43.1,36.8,0,2493,Null,Rear Wheel Drive,Automatic,151,4000,154.1,68.3,49.0,26,35,4, Gas,2.0,Red,Black,377.5
44,2017 Ford Mustang Ecoboost,20998,102 ,6,Multiple Damage Events,0,0,15.5,107.1,44.5,37.6,0,3532,Null,Null,Automatic,320,2500,188.3,75.4,54.4,21,30,4, Turbo Gas,2.3,Black,Black,1280.0
45,2014 Chevrolet Camaro LS,21998,12 ,9,No Accidents or Damage Reported,0,0,19.0,112.3,42.4,37.4,0,3719,Null,Rear Wheel Drive,Automatic,278,4800,190.6,75.5,54.2,17,28,6, Gas,3.6,Burgundy,Black,579.2
