,Name,Price,Mileage,ages,accident_damages,Insurance,service_repairs,torque,horsepower,fuel_capacity,dimension,wheelbase,front_tire_size,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,mile_per_gallon,engine_text,drive_type_text,transmission_text,color_ext_int,prior_use,keys
90,2020 Dodge Challenger R/T Scat Pack Widebody,"$50,998*",7K miles,3 year(s),No Accidents or Damage Reported,Null,,475 torque@4100rpm,485 horsepower@6100rpm,18.5 gal,"197.9"" L x 79.2"" W x 57.5"" H","116.2""",P305/35YR20,"42""","39.3""",Null,"4,308 lbs",Null,14 city/23 hwy,"8-cyl, Gas, 6.4L",Null,Automatic,Red/Black,None,2']
91,2016 Chevrolet Camaro LT,"$23,998*",57K miles,7 year(s),,Null,1 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,21 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Black/Black,None,2']
92,2021 Ford Mustang Ecoboost,"$28,998*",28K miles,2 year(s),No Accidents or Damage Reported,Null,,350 torque@3000rpm,310 horsepower@5500rpm,16 gal,"188.3"" L x 75.4"" W x 54.4"" H","107.1""",P235/55WR17,"44.5""","37.6""",Null,"3,532 lbs",Null,29 hwy,"4-cyl, Turbo Gas, 2.3L",Null,Automatic,Black/Black,None,2']
93,2016 Ford Mustang,"$24,998*",20K miles,7 year(s),No Accidents or Damage Reported,Null,6 Service Record(s) Reported,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,17 city/28 hwy,"6-cyl, Gas, 3.7L",Rear Wheel Drive,Automatic,Gray/Black,None,2']
94,2021 Dodge Challenger GT,"$31,998*",7K miles,2 year(s),No Accidents or Damage Reported,Null,,268 torque@4800rpm,303 horsepower@6350rpm,18.5 gal,"197.9"" L x 75.7"" W x 57.7"" H","116.2""",P245/45YR20,"42""","39.3""",Null,"3,906 lbs",Null,19 city/30 hwy,"6-cyl, Gas, 3.6L",Rear Wheel Drive,Automatic,Purple/Black,None,2']
95,2018 Chevrolet Camaro SS,"$40,998*",18K miles,5 year(s),,Null,,455 torque@4400rpm,455 horsepower@6000rpm,19.0 gal,"188.30"" L x 74.70"" W x 53.10"" H","110.70""",P245/40ZR20,"43.90""","38.50""",Null,"3,685 lbs",Null,16 city/25 hwy,"8-cyl, Gas, 6.2L",Rear Wheel Drive,Automatic,White/Red,None,2']
96,2015 Hyundai Genesis,"$19,998*",74K miles,8 year(s),No Accidents or Damage Reported,Null,,295 torque@5100rpm,348 horsepower@6400rpm,17.2 gal,"182.3"" L x 73.4"" W x 54.5"" H","111""",P225/45VR18,"44.1""","39.2""",Null,"3,495 lbs",Null,16 city/25 hwy,"6-cyl, Gas, 3.8L",Rear Wheel Drive,Automatic,White/Black,None,2']
97,2013 BMW 328 I,"$18,998*",65K miles,10 year(s),No Accidents or Damage Reported,Null,16 Service Record(s) Reported,200 torque@2750rpm,230 horsepower@6500rpm,16.100 gal,"181.900"" L x 71.500"" W x 54.900"" H","108.700""",225/45R17,"41.800""","38.400""",Null,"3,583 lbs",Null,18 city/28 hwy,"6-cyl, Gas, 3.0L",Rear Wheel Drive,Automatic,Burgundy/Gray,None,2']
98,2014 Chevrolet Camaro LT,"$22,998*",39K miles,9 year(s),,Null,,278 torque@4800rpm,323 horsepower@6800rpm,19.0 gal,"190.6"" L x 75.50"" W x 54.20"" H","112.30""",P245/55R18,"42.40""","37.40""",Null,"3,738 lbs",Null,17 city/28 hwy,"6-cyl, Gas, 3.6L",Null,Automatic,Red/Black,None,2']
99,2014 Ford Mustang,"$16,998*",110K miles,9 year(s),,Null,,280 torque@4250rpm,305 horsepower@6500rpm,16 gal,"188.5"" L x 73.9"" W x 55.8"" H","107.1""",P215/65TR17,"42.4""","38.5""",Null,"3,501 lbs",Null,19 city/29 hwy,"6-cyl, Gas, 3.7L",Null,Automatic,Blue/Tan,None,2']
