ages,accident_damages,Insurance,service_repairs,Name,Price,Mileage,fuel_capacity,wheelbase,dirver_leg_room,dirver_head_room,cargo_capacity,curb_weight,towing_capacity,drive_type_text,transmission_text,torque_num,torque_rpm,dimension_L,dimension_W,dimension_H,mile_per_gallon_city,mile_per_gallon_hwy,engine_cly,engine_fuel,engine_L,color_ext,color_int,torque
1 year(s),No Accidents or Damage Reported,Null,,2022 Ram 1500 Classic Tradesman,"$29,998*",13K miles,26 gal,"140""","41""","41""",Null,"4,929 lbs","4,530/4,530 lbs",Rear Wheel Drive,Automatic,269,4175,"229"" L "," 79.4"" W "," 76.9"" H",17 city,25 hwy,6-cyl, Gas, 3.6L,Burgundy,Gray,644.311377245509
3 year(s),,Null,,2020 Jeep Gladiator Overland,"$40,998*",17K miles,22 gal,"137.3""","41.2""","42.8""",Null,"4,720 lbs","4,000/4,000 lbs",Null,Automatic,260,4400,"218"" L "," 73.8"" W "," 75"" H",16 city,23 hwy,6-cyl, Gas, 3.6L,Red,Black,590.9090909090909
5 year(s),No Accidents or Damage Reported,Null,,2018 Nissan Frontier SV,"$26,998*",36K miles,21.1 gal,"125.9""","42.4""","39.9""",Null,"4,453 lbs","6,100/6,100 lbs",Four Wheel Drive,Automatic,281,4000,"205.5"" L "," 72.8"" W "," 70.1"" H",15 city,21 hwy,6-cyl, Gas, 4.0L,Red,Black,702.5000000000001
4 year(s),,Null,1 Service Record(s) Reported,2019 Chevrolet Silverado 1500 RST,"$36,998*",64K miles,24 gal,"147.43""","44.53""","43.03""",Null,"4,815 lbs","11,400/11,400 lbs",Four Wheel Drive,Automatic,383,4100,"231.7"" L "," 81.24"" W "," 75.51"" H",16 city,,8-cyl, Gas, 5.3L,Blue,Black,934.1463414634146
9 year(s),No Accidents or Damage Reported,Null,,2014 Ram 1500 Express,"$26,998*",42K miles,26 gal,"140""","41""","41""",Null,"5,063 lbs","4,250/4,250 lbs",Four Wheel Drive,Automatic,410,3950,"229"" L "," 79.4"" W "," 77.7"" H",13 city,19 hwy,8-cyl, Gas, 5.7L,Gray,Gray,1037.9746835443038
4 year(s),No Accidents or Damage Reported,Null,,2019 Chevrolet Colorado LT,"$28,998*",49K miles,21 gal,"128.30""","45.00""","41.40""",Null,"3,926 lbs","7,700/7,700 lbs",Rear Wheel Drive,Automatic,275,4000,"212.7"" L "," 74.30"" W "," 70.70"" H",18 city,25 hwy,6-cyl, Gas, 3.6L,Black,Black,687.5
5 year(s),,Null,,2018 Ford F150 XL,"$28,998*",47K miles,23 gal,"145""","43.9""","40.8""",Null,"4,668 lbs","5,000/5,000 lbs",Four Wheel Drive,Automatic,400,4500,"231.9"" L "," 79.9"" W "," 77.2"" H",16 city,22 hwy,8-cyl, Gas, 5.0L,Silver,Brown,888.8888888888889
4 year(s),No Accidents or Damage Reported,Null,7 Service Record(s) Reported,2019 Ram 1500 Bighorn,"$34,998*",47K miles,23 gal,"140.5""","40.9""","40.9""",Null,"4,989 lbs","6,460/6,460 lbs",Four Wheel Drive,Automatic,410,3950,"228.9"" L "," 82.1"" W "," 77.7"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Red,Black,1037.9746835443038
10 year(s),No Accidents or Damage Reported,Null,3 Service Record(s) Reported,2013 Toyota Tacoma Prerunner,"$23,998*",108K miles,21.1 gal,"140.6""","41.7""","40.2""",Null,"4,005 lbs",Null,Rear Wheel Drive,Automatic,266,4000,Null,,,17 city,21 hwy,6-cyl, Gas, 4.0L,Gray,Gray,665.0
4 year(s),No Accidents or Damage Reported,Null,,2019 Ram 1500 Bighorn,"$38,998*",36K miles,26 gal,"144.5""","40.9""","40.9""",Null,"5,232 lbs","6,280/6,280 lbs",Four Wheel Drive,Automatic,410,3950,"232.9"" L "," 82.1"" W "," 77.6"" H",15 city,21 hwy,8-cyl, Gas, 5.7L,Burgundy,Black,1037.9746835443038
2 year(s),No Accidents or Damage Reported,Null,,2021 Ram 2500 Bighorn,"$49,998*",41K miles,32 gal,"169""","40.9""","40.9""",Null,"6,958 lbs","14,070/14,070 lbs",Four Wheel Drive,Automatic,850,1700,"260.8"" L "," 79.4"" W "," 80.1"" H",Null,Null,6-cyl, Turbo Diesel, 6.7L,White,Black,5000.0
3 year(s),,Null,,2020 Chevrolet Colorado Z71,"$33,998*",57K miles,21 gal,"128.3""","45.0""","41.4""",Null,"3,997 lbs","7,600/7,600 lbs",Four Wheel Drive,Automatic,275,4000,"212.7"" L "," 74.3"" W "," 70.6"" H",17 city,24 hwy,6-cyl, Gas, 3.6L,Black,Gray,687.5
4 year(s),No Accidents or Damage Reported,Null,,2019 GMC Sierra 1500 Limited,"$36,998*",44K miles,26 gal,"143.50""","45.27""","42.80""",Null,"5,114 lbs","9,200/9,200 lbs",Four Wheel Drive,Automatic,383,4100,"229.50"" L "," 80.00"" W "," 73.90"" H",15 city,21 hwy,8-cyl, Gas, 5.3L,White,Black,934.1463414634146
7 year(s),No Accidents or Damage Reported,Null,,2016 GMC Canyon SLE,"$23,998*",110K miles,21 gal,"140.50""","45.00""","41.40""",Null,Null,"7,600/7,600 lbs",Four Wheel Drive,Automatic,269,4000,Null,,,17 city,24 hwy,6-cyl, Gas, 3.6L,Black,Black,672.5
